Temp,pH
25,6.9976
25,6.9976
62.5,6.4853
100,6.1276
137.5,5.8789
175,5.7135
212.5,5.6167
250,5.5838
287.5,5.6202
325,5.7414
362.5,5.973
400,6.3507
400,6.3507
