Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46
MgCl+,4.2435E-08,4.2435E-08,4.2435E-08,4.2435E-08,4.2435E-08,4.2440E-08,4.2489E-08,4.2980E-08,4.8209E-08,9.5350E-08,1.4950E-07,4.2509E-07,4.9483E-07,7.4807E-07,7.5356E-07,1.2625E-06,1.4553E-06,3.6669E-06,8.0661E-06,8.0673E-06,8.1564E-06,1.5357E-05,1.5704E-05,2.5783E-05,3.6091E-05,3.6093E-05,3.6273E-05,3.6963E-05,3.7106E-05,7.4523E-05,7.4525E-05,7.6251E-05,3.1360E-04,6.2380E-04,6.2384E-04,6.3676E-04,6.4434E-04,6.7249E-04,5.5441E-03,5.5448E-03,5.7505E-03,5.9136E-03,5.9136E-03,5.9137E-03,5.9166E-03,6.6654E-03,6.6654E-03
"FeO,aq",9.6424E-09,9.6424E-09,9.6424E-09,9.6424E-09,9.6425E-09,9.6436E-09,9.6546E-09,9.7653E-09,1.0927E-08,2.0202E-08,2.8923E-08,5.9443E-08,6.5327E-08,8.3458E-08,8.3796E-08,1.1163E-07,1.2070E-07,1.9457E-07,2.7957E-07,2.7958E-07,2.8054E-07,3.3203E-07,3.3365E-07,3.6226E-07,3.6790E-07,3.6762E-07,2.2507E-07,2.2334E-07,2.2299E-07,1.6448E-07,1.6447E-07,1.6270E-07,8.7104E-08,6.6576E-08,6.6556E-08,6.0736E-08,5.7851E-08,5.7368E-08,3.8368E-08,3.8357E-08,3.6619E-08,3.6428E-08,3.6427E-08,3.6423E-08,3.6326E-08,3.6336E-08,3.6336E-08
"MgCO3,aq",2.8846E-09,2.8846E-09,2.8846E-09,2.8846E-09,2.8846E-09,2.8848E-09,2.8871E-09,2.9102E-09,3.1463E-09,4.7067E-09,5.7815E-09,7.7310E-09,7.8953E-09,8.1829E-09,8.1886E-09,8.3033E-09,8.2379E-09,7.1096E-09,5.7013E-09,5.7008E-09,5.6585E-09,3.6933E-09,3.6364E-09,2.4646E-09,1.6853E-09,1.6869E-09,2.1458E-09,2.1105E-09,2.1032E-09,9.0553E-10,9.0550E-10,8.7721E-10,1.2033E-10,4.8972E-11,4.8958E-11,4.4835E-11,4.2479E-11,4.1311E-11,1.0785E-11,1.0782E-11,9.8143E-12,9.2358E-12,9.2355E-12,9.2349E-12,9.2169E-12,7.2924E-12,7.2924E-12
FeOH+,2.2313E-09,2.2313E-09,2.2313E-09,2.2313E-09,2.2314E-09,2.2317E-09,2.2346E-09,2.2641E-09,2.5773E-09,5.2783E-09,8.0868E-09,1.9372E-08,2.1743E-08,2.9220E-08,2.9353E-08,4.0589E-08,4.4377E-08,7.7190E-08,1.1455E-07,1.1456E-07,1.1494E-07,1.2797E-07,1.2799E-07,1.1748E-07,1.0370E-07,1.0361E-07,5.8703E-08,5.9019E-08,5.9084E-08,7.0133E-08,7.0133E-08,7.0450E-08,9.7069E-08,1.1758E-07,1.1755E-07,1.0726E-07,1.0228E-07,1.0402E-07,2.4504E-07,2.4498E-07,2.3787E-07,2.4038E-07,2.4037E-07,2.4035E-07,2.3972E-07,2.5723E-07,2.5723E-07
"SiO2,aq",7.3493E-10,7.3493E-10,7.3493E-10,7.3493E-10,7.3495E-10,7.3518E-10,7.3744E-10,7.6042E-10,1.0269E-09,4.9874E-09,1.1950E-08,6.3292E-08,7.8471E-08,1.3804E-07,1.3935E-07,2.7122E-07,3.2534E-07,1.0142E-06,2.5782E-06,2.5786E-06,2.6118E-06,5.6782E-06,5.8487E-06,1.1789E-05,1.8462E-05,1.8467E-05,2.0649E-05,2.1206E-05,2.1322E-05,5.4725E-05,5.4726E-05,5.6332E-05,2.8794E-04,5.6787E-04,5.6788E-04,5.6910E-04,5.7081E-04,5.8271E-04,1.5299E-03,1.5299E-03,1.5394E-03,1.5521E-03,1.5521E-03,1.5521E-03,1.5518E-03,1.6038E-03,1.6038E-03
Mg(For)+,4.9365E-10,4.9365E-10,4.9365E-10,4.9365E-10,4.9366E-10,4.9374E-10,4.9455E-10,5.0272E-10,5.9129E-10,1.4750E-09,2.5606E-09,7.8520E-09,9.0767E-09,1.3154E-08,1.3235E-08,2.0109E-08,2.2436E-08,4.3100E-08,6.9492E-08,6.9498E-08,6.9962E-08,9.7405E-08,9.8302E-08,1.0964E-07,9.6889E-08,9.6767E-08,2.9553E-08,2.8911E-08,2.8779E-08,9.5491E-09,9.5489E-09,9.3621E-09,2.6842E-09,1.5679E-09,1.5654E-09,8.6190E-10,5.1793E-10,5.1471E-10,3.7956E-10,3.7798E-10,9.0397E-11,3.8150E-11,3.8144E-11,3.8131E-11,3.7773E-11,3.4346E-11,3.4346E-11
Fe+2,1.4776E-11,1.4776E-11,1.4776E-11,1.4776E-11,1.4776E-11,1.4779E-11,1.4812E-11,1.5143E-11,1.8829E-11,6.2098E-11,1.2506E-10,5.1172E-10,6.1488E-10,9.7161E-10,9.7760E-10,1.5568E-09,1.7848E-09,4.3775E-09,8.1865E-09,8.1871E-09,8.2312E-09,9.5139E-09,9.4942E-09,7.8698E-09,6.7155E-09,6.7088E-09,3.6757E-09,3.7538E-09,3.7700E-09,8.0824E-09,8.0826E-09,8.2799E-09,4.1085E-08,9.7578E-08,9.7558E-08,9.1826E-08,8.9319E-08,9.3886E-08,1.2086E-06,1.2086E-06,1.2522E-06,1.3293E-06,1.3293E-06,1.3292E-06,1.3270E-06,1.7547E-06,1.7547E-06
FeCl+,5.1507E-12,5.1507E-12,5.1507E-12,5.1507E-12,5.1508E-12,5.1519E-12,5.1631E-12,5.2761E-12,6.5406E-12,2.2287E-11,4.7846E-11,2.5187E-10,3.1708E-10,5.8775E-10,5.9424E-10,1.2744E-09,1.5634E-09,5.5597E-09,1.5562E-08,1.5565E-08,1.5762E-08,3.1834E-08,3.2605E-08,5.3827E-08,7.0806E-08,7.0749E-08,4.1212E-08,4.2223E-08,4.2432E-08,9.8776E-08,9.8778E-08,1.0132E-07,4.5649E-07,9.0548E-07,9.0520E-07,8.2197E-07,7.8218E-07,8.1562E-07,6.1471E-06,6.1454E-06,5.9447E-06,6.0190E-06,6.0186E-06,6.0180E-06,5.9998E-06,6.4920E-06,6.4920E-06
FeO2-,1.5495E-12,1.5495E-12,1.5495E-12,1.5495E-12,1.5496E-12,1.5501E-12,1.5549E-12,1.6036E-12,2.1717E-12,1.1101E-11,2.8094E-11,1.7033E-10,2.1443E-10,3.8290E-10,3.8612E-10,7.1926E-10,8.5840E-10,2.6145E-09,5.9850E-09,5.9855E-09,6.0259E-09,8.5189E-09,8.6097E-09,1.0464E-08,1.1298E-08,1.1303E-08,1.4912E-08,1.4763E-08,1.4732E-08,1.0446E-08,1.0445E-08,1.0219E-08,2.9730E-09,1.7886E-09,1.7893E-09,2.1450E-09,2.5933E-09,2.5288E-09,8.0591E-10,8.0732E-10,1.5553E-09,2.3691E-09,2.3692E-09,2.3693E-09,2.3731E-09,2.4645E-09,2.4645E-09
"Mg(For)2,aq",1.5165E-12,1.5165E-12,1.5165E-12,1.5165E-12,1.5165E-12,1.5168E-12,1.5195E-12,1.5472E-12,1.8507E-12,5.1320E-12,9.5186E-12,3.2631E-11,3.8095E-11,5.6872E-11,5.7304E-11,9.3294E-11,1.0494E-10,1.9800E-10,3.1600E-10,3.1603E-10,3.1846E-10,4.9561E-10,5.0336E-10,6.5612E-10,5.4922E-10,5.4791E-10,5.4949E-11,5.1835E-11,5.1213E-11,3.2579E-12,3.2577E-12,3.0733E-12,7.2485E-14,1.2541E-14,1.2500E-14,3.6883E-15,1.3107E-15,1.2392E-15,7.2721E-17,7.2103E-17,3.8939E-18,6.6482E-19,6.6459E-19,6.6414E-19,6.5108E-19,4.4856E-19,4.4856E-19
