Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46
MgHCO3+,7.7027E-03,7.7027E-03,7.7027E-03,7.7027E-03,7.7034E-03,7.7098E-03,7.7738E-03,8.4367E-03,1.3275E-02,1.4903E-02,1.4903E-02,1.5082E-02,1.6286E-02,2.1535E-02,2.3270E-02,2.6222E-02,2.6292E-02,2.9991E-02,3.0684E-02,3.5530E-02,3.6253E-02,3.5006E-02,2.9093E-02,1.6984E-02,1.2172E-02,1.2172E-02,1.1961E-02,9.3125E-03,9.1814E-03,7.7805E-03,7.6175E-03,6.8542E-03,1.5957E-03,6.7639E-04,6.7637E-04,6.7626E-04,6.2781E-04,5.5164E-04,5.5161E-04,5.5160E-04,5.5157E-04,5.5155E-04,5.5151E-04,5.5144E-04,5.5134E-04,4.6895E-04,4.6895E-04
"KCl,aq",5.4092E-03,5.4092E-03,5.4092E-03,5.4093E-03,5.4099E-03,5.4163E-03,5.4802E-03,6.1495E-03,1.1476E-02,1.3493E-02,1.3494E-02,1.3819E-02,1.6123E-02,2.8955E-02,3.4354E-02,4.3943E-02,4.4136E-02,5.7388E-02,6.0655E-02,9.4642E-02,1.2860E-01,1.3812E-01,1.5847E-01,1.8486E-01,1.9525E-01,1.9525E-01,1.9377E-01,1.7591E-01,1.7604E-01,1.7754E-01,1.7777E-01,1.7887E-01,1.8650E-01,1.8296E-01,1.8295E-01,1.8294E-01,1.7692E-01,1.7006E-01,1.7006E-01,1.7006E-01,1.7005E-01,1.7005E-01,1.7004E-01,1.7003E-01,1.7002E-01,1.6802E-01,1.6802E-01
CaHCO3+,3.2016E-03,3.2016E-03,3.2016E-03,3.2016E-03,3.2019E-03,3.2047E-03,3.2325E-03,3.5201E-03,5.5763E-03,6.2482E-03,6.2484E-03,6.3216E-03,6.8050E-03,8.7032E-03,9.2358E-03,9.9917E-03,1.0007E-02,1.0688E-02,1.0792E-02,1.1285E-02,1.0492E-02,9.8120E-03,7.5091E-03,3.8838E-03,2.6841E-03,2.6841E-03,2.6343E-03,2.0419E-03,2.0130E-03,1.7062E-03,1.6707E-03,1.5053E-03,4.1042E-04,2.2197E-04,2.2196E-04,2.2193E-04,2.0787E-04,1.9005E-04,1.9005E-04,1.9004E-04,1.9003E-04,1.9002E-04,1.9001E-04,1.8999E-04,1.8996E-04,1.7928E-04,1.7928E-04
HCO3-,2.0064E-03,2.0064E-03,2.0064E-03,2.0064E-03,2.0065E-03,2.0081E-03,2.0243E-03,2.1891E-03,3.2522E-03,3.5526E-03,3.5527E-03,3.5794E-03,3.7423E-03,4.1215E-03,4.1397E-03,4.0691E-03,4.0660E-03,3.8691E-03,3.8253E-03,3.3833E-03,2.6906E-03,2.4004E-03,1.6594E-03,7.5691E-04,4.9444E-04,4.9443E-04,4.8338E-04,3.6427E-04,3.5867E-04,2.9961E-04,2.9283E-04,2.6137E-04,6.0626E-05,2.9311E-05,2.9310E-05,2.9306E-05,2.7537E-05,2.5084E-05,2.5083E-05,2.5083E-05,2.5082E-05,2.5081E-05,2.5079E-05,2.5077E-05,2.5073E-05,2.3274E-05,2.3274E-05
"NaHCO3,aq",7.4285E-04,7.4285E-04,7.4285E-04,7.4286E-04,7.4292E-04,7.4354E-04,7.4977E-04,8.1303E-04,1.2038E-03,1.3060E-03,1.3060E-03,1.3142E-03,1.3604E-03,1.3998E-03,1.3630E-03,1.2820E-03,1.2807E-03,1.1785E-03,1.1518E-03,8.7181E-04,5.7902E-04,4.9140E-04,3.0762E-04,1.2496E-04,7.7141E-05,7.7140E-05,7.4774E-05,5.1992E-05,5.1118E-05,4.1950E-05,4.0909E-05,3.6094E-05,6.4671E-06,2.2747E-06,2.2747E-06,2.2740E-06,2.0339E-06,1.6971E-06,1.6970E-06,1.6969E-06,1.6968E-06,1.6967E-06,1.6966E-06,1.6963E-06,1.6959E-06,1.3488E-06,1.3488E-06
CO3-2,4.6234E-04,4.6234E-04,4.6234E-04,4.6234E-04,4.6228E-04,4.6175E-04,4.5647E-04,4.0669E-04,1.9606E-04,1.5591E-04,1.5590E-04,1.4973E-04,1.1406E-04,3.3439E-05,2.1956E-05,1.0712E-05,1.0537E-05,4.3580E-06,3.6885E-06,1.0172E-06,2.9429E-07,1.8972E-07,6.0024E-08,9.0167E-09,3.8450E-09,3.8449E-09,3.6514E-09,2.2453E-09,2.1831E-09,1.5861E-09,1.5248E-09,1.2571E-09,1.9210E-10,1.7918E-10,1.7919E-10,1.7922E-10,1.9094E-10,2.2662E-10,2.2662E-10,2.2662E-10,2.2662E-10,2.2663E-10,2.2663E-10,2.2664E-10,2.2665E-10,3.7732E-10,3.7732E-10
"H2,aq",2.5581E-04,2.5581E-04,2.5581E-04,2.5581E-04,2.5584E-04,2.5611E-04,2.5878E-04,2.8711E-04,5.4665E-04,6.6660E-04,6.6665E-04,6.9147E-04,8.8260E-04,2.5445E-03,3.6096E-03,6.1447E-03,6.2052E-03,1.1110E-02,1.2573E-02,3.6221E-02,8.6525E-02,1.0843E-01,1.6629E-01,2.3975E-01,2.5872E-01,2.5870E-01,2.2760E-01,5.7495E-02,5.6053E-02,4.1427E-02,4.1030E-02,3.9096E-02,1.9512E-02,1.2885E-02,1.2883E-02,1.2868E-02,6.8698E-03,1.7104E-04,1.7103E-04,1.7102E-04,1.7098E-04,1.7094E-04,1.7090E-04,1.7080E-04,1.7068E-04,1.8267E-04,1.8267E-04
MgOH+,1.3316E-04,1.3316E-04,1.3316E-04,1.3316E-04,1.3317E-04,1.3320E-04,1.3360E-04,1.3766E-04,1.6666E-04,1.7680E-04,1.7680E-04,1.7842E-04,1.8967E-04,2.4949E-04,2.7359E-04,3.1301E-04,3.1369E-04,3.5864E-04,3.6965E-04,4.9281E-04,6.4159E-04,6.8736E-04,7.8361E-04,8.9575E-04,9.4965E-04,9.4966E-04,9.5559E-04,9.9962E-04,9.9391E-04,9.3191E-04,9.2462E-04,8.8976E-04,6.1081E-04,5.9640E-04,5.9641E-04,5.9648E-04,6.2398E-04,6.7225E-04,6.7226E-04,6.7226E-04,6.7227E-04,6.7229E-04,6.7230E-04,6.7233E-04,6.7238E-04,7.7351E-04,7.7351E-04
Fe+2,1.1172E-04,1.1172E-04,1.1172E-04,1.1172E-04,1.1173E-04,1.1184E-04,1.1290E-04,1.2387E-04,2.0282E-04,2.2995E-04,2.2995E-04,2.3420E-04,2.6353E-04,4.0592E-04,4.5608E-04,5.2169E-04,5.2231E-04,5.6614E-04,5.7701E-04,6.7065E-04,6.7209E-04,6.4292E-04,5.3012E-04,3.3216E-04,2.5848E-04,2.5847E-04,2.4109E-04,1.2312E-04,1.2326E-04,1.2451E-04,1.2449E-04,1.2447E-04,1.5346E-04,2.6478E-04,2.6477E-04,2.6470E-04,2.3851E-04,2.3437E-04,2.3436E-04,2.3435E-04,2.3433E-04,2.3432E-04,2.3430E-04,2.3425E-04,2.3420E-04,3.2057E-04,3.2057E-04
FeCl+,9.9203E-05,9.9203E-05,9.9203E-05,9.9204E-05,9.9214E-05,9.9314E-05,1.0031E-04,1.1078E-04,1.9543E-04,2.2883E-04,2.2884E-04,2.3430E-04,2.7374E-04,5.1931E-04,6.3424E-04,8.6256E-04,8.6793E-04,1.2174E-03,1.2992E-03,2.1186E-03,3.0289E-03,3.3201E-03,3.9461E-03,4.4429E-03,4.3750E-03,4.3749E-03,4.1262E-03,2.2282E-03,2.2370E-03,2.3275E-03,2.3349E-03,2.3694E-03,2.3869E-03,2.0816E-03,2.0814E-03,2.0805E-03,1.7135E-03,1.3982E-03,1.3980E-03,1.3980E-03,1.3978E-03,1.3976E-03,1.3975E-03,1.3970E-03,1.3965E-03,1.3028E-03,1.3028E-03
Fe(For)+,2.9966E-05,2.9966E-05,2.9966E-05,2.9966E-05,2.9969E-05,2.9999E-05,3.0293E-05,3.3343E-05,5.6130E-05,6.4320E-05,6.4323E-05,6.5692E-05,7.5276E-05,1.2549E-04,1.4498E-04,1.7819E-04,1.7888E-04,2.1926E-04,2.2735E-04,2.7762E-04,2.5722E-04,2.3270E-04,1.5187E-04,4.6823E-05,2.1919E-05,2.1917E-05,1.7234E-05,1.3949E-06,1.3336E-06,7.7985E-07,7.4847E-07,6.0922E-07,3.0316E-08,4.7413E-09,4.7400E-09,4.7308E-09,1.8499E-09,3.0790E-11,3.0784E-11,3.0779E-11,3.0767E-11,3.0755E-11,3.0741E-11,3.0708E-11,3.0666E-11,2.3519E-11,2.3519E-11
"Fe(For)2,aq",6.6976E-06,6.6976E-06,6.6976E-06,6.6976E-06,6.6983E-06,6.7048E-06,6.7703E-06,7.4462E-06,1.2351E-05,1.4050E-05,1.4051E-05,1.4348E-05,1.6398E-05,2.6508E-05,3.0224E-05,3.6357E-05,3.6484E-05,4.4157E-05,4.5747E-05,5.4035E-05,4.1270E-05,3.3186E-05,1.4243E-05,1.6058E-06,4.0938E-07,4.0930E-07,2.6968E-07,3.3569E-09,3.0639E-09,1.0375E-09,9.5626E-10,6.3588E-10,1.8553E-12,5.1695E-14,5.1670E-14,5.1493E-14,9.4659E-15,3.1566E-18,3.1557E-18,3.1548E-18,3.1526E-18,3.1505E-18,3.1480E-18,3.1422E-18,3.1348E-18,1.9193E-18,1.9193E-18
FeOH+,4.2737E-06,4.2737E-06,4.2737E-06,4.2737E-06,4.2740E-06,4.2766E-06,4.3035E-06,4.5777E-06,6.4711E-06,7.1113E-06,7.1115E-06,7.2120E-06,7.9090E-06,1.1467E-05,1.2835E-05,1.5094E-05,1.5137E-05,1.7657E-05,1.8182E-05,2.2494E-05,2.5449E-05,2.5937E-05,2.5897E-05,2.2686E-05,2.0292E-05,2.0291E-05,1.9171E-05,1.0740E-05,1.0692E-05,1.0120E-05,1.0033E-05,9.6085E-06,5.2518E-06,3.8939E-06,3.8937E-06,3.8923E-06,3.3493E-06,2.9239E-06,2.9237E-06,2.9236E-06,2.9233E-06,2.9231E-06,2.9228E-06,2.9221E-06,2.9212E-06,2.9973E-06,2.9973E-06
OH-,3.4867E-06,3.4867E-06,3.4867E-06,3.4867E-06,3.4867E-06,3.4866E-06,3.4855E-06,3.4739E-06,3.3794E-06,3.3458E-06,3.3458E-06,3.3407E-06,3.3054E-06,3.1398E-06,3.0846E-06,2.9245E-06,2.9177E-06,2.6350E-06,2.6009E-06,2.5243E-06,2.5200E-06,2.4857E-06,2.3388E-06,2.0754E-06,2.0141E-06,2.0141E-06,2.0167E-06,2.0455E-06,2.0318E-06,1.8853E-06,1.8684E-06,1.7889E-06,1.3369E-06,1.6835E-06,1.6835E-06,1.6838E-06,1.8032E-06,2.0675E-06,2.0675E-06,2.0676E-06,2.0676E-06,2.0677E-06,2.0678E-06,2.0679E-06,2.0681E-06,2.7639E-06,2.7639E-06
CaOH+,2.7407E-06,2.7407E-06,2.7407E-06,2.7407E-06,2.7411E-06,2.7443E-06,2.7768E-06,3.1179E-06,5.8723E-06,6.9353E-06,6.9357E-06,7.1094E-06,8.3461E-06,1.5366E-05,1.8315E-05,2.3291E-05,2.3380E-05,2.8952E-05,3.0225E-05,4.2883E-05,5.5312E-05,5.8478E-05,6.3674E-05,6.6356E-05,6.7306E-05,6.7306E-05,6.7541E-05,6.9113E-05,6.8657E-05,6.3732E-05,6.3152E-05,6.0391E-05,3.8882E-05,3.5949E-05,3.5949E-05,3.5951E-05,3.6700E-05,3.8368E-05,3.8368E-05,3.8368E-05,3.8369E-05,3.8369E-05,3.8369E-05,3.8370E-05,3.8371E-05,4.2352E-05,4.2352E-05
"NaOH,aq",1.0957E-06,1.0957E-06,1.0957E-06,1.0957E-06,1.0957E-06,1.0957E-06,1.0956E-06,1.0941E-06,1.0555E-06,1.0363E-06,1.0362E-06,1.0331E-06,1.0105E-06,8.8994E-07,8.4519E-07,7.6535E-07,7.6343E-07,6.6719E-07,6.5030E-07,5.2886E-07,4.3030E-07,4.0124E-07,3.3751E-07,2.6068E-07,2.3478E-07,2.3478E-07,2.3280E-07,2.1575E-07,2.1386E-07,1.9360E-07,1.9125E-07,1.8014E-07,9.3430E-08,7.5801E-08,7.5802E-08,7.5803E-08,7.6462E-08,7.8386E-08,7.8386E-08,7.8387E-08,7.8387E-08,7.8387E-08,7.8387E-08,7.8387E-08,7.8388E-08,8.4779E-08,8.4779E-08
