Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46
Xi,0.0,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0646662,0.0808873,0.0808925,0.0833725,0.1,0.174268,0.2,0.240918,0.241691,0.289381,0.3,0.4,0.5,0.530448,0.6,0.7,0.747125,0.747127,0.750788,0.779276,0.780244,0.791534,0.792947,0.8,0.9,0.963511,0.963513,0.963527,0.969005,0.979811,0.979812,0.979813,0.979815,0.979818,0.97982,0.979826,0.979834,0.981666,1.0
Aw,0.75265,0.75265,0.75265,0.75265,0.75265,0.75264,0.75251,0.75131,0.74727,0.74704,0.74704,0.74705,0.74731,0.75226,0.75501,0.76136,0.76155,0.77056,0.77202,0.78273,0.79528,0.8,0.81192,0.83038,0.83921,0.83921,0.84147,0.86095,0.86115,0.86349,0.86373,0.86493,0.87975,0.88582,0.88582,0.88582,0.8892,0.89304,0.89304,0.89304,0.89304,0.89305,0.89305,0.89305,0.89306,0.89352,0.89352
Temp,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,35.22,41.55,41.55,42.52,49.0,77.96,88.0,103.96,104.26,122.86,127.0,166.0,205.0,216.87,244.0,283.0,301.38,301.38,302.81,313.92,314.3,318.7,319.25,322.0,361.0,385.77,385.77,385.78,387.91,392.13,392.13,392.13,392.13,392.13,392.13,392.13,392.14,400.0,400.0
I,7.4714,7.4714,7.4714,7.4714,7.4714,7.4715,7.4729,7.4837,7.4676,7.4387,7.4387,7.4333,7.3917,7.1097,6.9846,6.7197,6.7122,6.3307,6.2635,5.7876,5.3882,5.2637,4.9813,4.6287,4.496,4.496,4.4593,4.0918,4.089,4.0577,4.0547,4.0398,3.9135,4.0247,4.0247,4.0246,3.9714,3.9346,3.9346,3.9345,3.9345,3.9344,3.9344,3.9342,3.9341,4.0758,4.0758
pH,8.7791,8.7791,8.7791,8.7791,8.779,8.7777,8.7646,8.6358,7.9308,7.7452,7.7452,7.7177,7.5393,6.8533,6.6517,6.357,6.3515,6.0447,5.9839,5.5191,5.2036,5.1301,4.9962,4.8869,4.8748,4.8748,4.8755,4.8851,4.8824,4.8528,4.8492,4.8323,4.7172,4.7754,4.7754,4.7755,4.7994,4.845,4.845,4.845,4.845,4.845,4.845,4.845,4.8451,4.934,4.934
TDS%,35.285,35.285,35.285,35.285,35.285,35.285,35.285,35.283,35.276,35.275,35.275,35.274,35.268,35.253,35.252,35.251,35.251,35.251,35.251,35.243,35.223,35.213,35.182,35.146,35.150999999999996,35.150999999999996,34.967999999999996,32.923,32.919,32.882,32.882,32.883,32.977000000000004,33.017,33.017,33.015,32.329,31.601000000000003,31.6,31.6,31.6,31.599,31.599,31.596999999999998,31.596000000000004,31.585,31.585
Solv_Mass,841.5544,841.5544,841.5544,841.5544,841.55439,841.5543,841.5534,841.54368,841.45735,841.42855,841.42859,841.44487,841.54256,841.79407,841.83939,841.87825,841.87797,841.90383,841.91934,842.1285,842.18863,842.16352,842.18146,842.76506,843.33211,843.33552,850.02801,930.1199,930.31474,932.28718,932.34674,932.63381,935.35864,936.34523,936.35389,936.41663,964.10761,995.20791,995.22637,995.23495,995.25651,995.27761,995.30213,995.35885,995.4323,995.39897,995.39897
Cl-,6.0472E+00,6.0472E+00,6.0472E+00,6.0472E+00,6.0472E+00,6.0473E+00,6.0481E+00,6.0552E+00,6.0524E+00,6.0383E+00,6.0383E+00,6.0356E+00,6.0143E+00,5.8662E+00,5.7995E+00,5.6556E+00,5.6515E+00,5.4387E+00,5.4006E+00,5.1252E+00,4.8984E+00,4.8293E+00,4.6721E+00,4.4605E+00,4.3690E+00,4.3690E+00,4.3358E+00,3.9901E+00,3.9877E+00,3.9614E+00,3.9589E+00,3.9465E+00,3.8246E+00,3.8869E+00,3.8868E+00,3.8867E+00,3.8267E+00,3.7723E+00,3.7723E+00,3.7723E+00,3.7722E+00,3.7722E+00,3.7721E+00,3.7719E+00,3.7718E+00,3.8608E+00,3.8608E+00
MgCl+,1.2989E+00,1.2989E+00,1.2989E+00,1.2989E+00,1.2989E+00,1.2989E+00,1.2989E+00,1.2999E+00,1.3232E+00,1.3353E+00,1.3353E+00,1.3372E+00,1.3514E+00,1.4375E+00,1.4736E+00,1.5445E+00,1.5464E+00,1.6423E+00,1.6596E+00,1.7878E+00,1.9008E+00,1.9353E+00,2.0079E+00,2.0677E+00,2.0636E+00,2.0636E+00,2.0485E+00,1.8854E+00,1.8846E+00,1.8747E+00,1.8738E+00,1.8690E+00,1.7535E+00,1.6846E+00,1.6846E+00,1.6845E+00,1.6615E+00,1.6246E+00,1.6246E+00,1.6246E+00,1.6245E+00,1.6245E+00,1.6245E+00,1.6244E+00,1.6243E+00,1.6092E+00,1.6092E+00
Mg+2,8.7052E-01,8.7052E-01,8.7052E-01,8.7052E-01,8.7052E-01,8.7051E-01,8.7046E-01,8.6945E-01,8.4528E-01,8.3287E-01,8.3287E-01,8.3074E-01,8.1537E-01,7.2775E-01,6.9233E-01,6.2278E-01,6.2093E-01,5.2699E-01,5.1036E-01,3.9062E-01,2.8753E-01,2.5564E-01,1.8552E-01,1.0664E-01,8.2384E-02,8.2383E-02,8.0718E-02,6.8972E-02,6.8671E-02,6.5387E-02,6.5012E-02,6.3233E-02,5.5147E-02,7.3966E-02,7.3967E-02,7.3975E-02,7.7120E-02,8.4236E-02,8.4237E-02,8.4237E-02,8.4239E-02,8.4240E-02,8.4242E-02,8.4245E-02,8.4250E-02,1.0369E-01,1.0369E-01
"CaCl2,aq",8.4238E-01,8.4238E-01,8.4238E-01,8.4238E-01,8.4236E-01,8.4219E-01,8.4052E-01,8.2428E-01,7.4192E-01,7.2221E-01,7.2221E-01,7.1936E-01,7.0132E-01,6.4007E-01,6.2485E-01,6.1191E-01,6.1203E-01,6.1318E-01,6.1210E-01,5.9225E-01,5.7386E-01,5.7095E-01,5.7073E-01,5.8310E-01,5.8872E-01,5.8872E-01,5.8238E-01,5.1562E-01,5.1557E-01,5.1505E-01,5.1510E-01,5.1524E-01,4.8921E-01,4.3473E-01,4.3472E-01,4.3467E-01,4.1450E-01,3.8708E-01,3.8707E-01,3.8706E-01,3.8705E-01,3.8704E-01,3.8702E-01,3.8699E-01,3.8695E-01,3.5994E-01,3.5994E-01
K+,7.6926E-01,7.6926E-01,7.6926E-01,7.6926E-01,7.6926E-01,7.6925E-01,7.6919E-01,7.6853E-01,7.6328E-01,7.6129E-01,7.6129E-01,7.6095E-01,7.5856E-01,7.4549E-01,7.4005E-01,7.3043E-01,7.3024E-01,7.1696E-01,7.1368E-01,6.7950E-01,6.4549E-01,6.3599E-01,6.1563E-01,5.8870E-01,5.7779E-01,5.7778E-01,5.7318E-01,5.2499E-01,5.2472E-01,5.2173E-01,5.2146E-01,5.2015E-01,5.1048E-01,5.1329E-01,5.1329E-01,5.1325E-01,4.9928E-01,4.8501E-01,4.8500E-01,4.8499E-01,4.8498E-01,4.8497E-01,4.8496E-01,4.8494E-01,4.8490E-01,4.8693E-01,4.8693E-01
Na+,7.0517E-01,7.0517E-01,7.0517E-01,7.0517E-01,7.0516E-01,7.0504E-01,7.0383E-01,6.9194E-01,6.2866E-01,6.1278E-01,6.1277E-01,6.1045E-01,5.9557E-01,5.4199E-01,5.2700E-01,5.0575E-01,5.0538E-01,4.8075E-01,4.7520E-01,4.3110E-01,4.0756E-01,4.0372E-01,3.9736E-01,3.8766E-01,3.8320E-01,3.8320E-01,3.8128E-01,3.5888E-01,3.5872E-01,3.5703E-01,3.5687E-01,3.5612E-01,3.5505E-01,3.6377E-01,3.6376E-01,3.6374E-01,3.5530E-01,3.4726E-01,3.4726E-01,3.4725E-01,3.4725E-01,3.4724E-01,3.4723E-01,3.4722E-01,3.4720E-01,3.5013E-01,3.5013E-01
Ca+2,5.3798E-01,5.3798E-01,5.3798E-01,5.3798E-01,5.3798E-01,5.3803E-01,5.3848E-01,5.4244E-01,5.4756E-01,5.4344E-01,5.4344E-01,5.4264E-01,5.3593E-01,4.8223E-01,4.5703E-01,4.0232E-01,4.0074E-01,3.2321E-01,3.1019E-01,2.2359E-01,1.5554E-01,1.3519E-01,9.2198E-02,4.8726E-02,3.7254E-02,3.7253E-02,3.6516E-02,3.1419E-02,3.1300E-02,3.0067E-02,2.9933E-02,2.9323E-02,3.3461E-02,6.3562E-02,6.3563E-02,6.3573E-02,6.7305E-02,7.7769E-02,7.7770E-02,7.7771E-02,7.7773E-02,7.7774E-02,7.7776E-02,7.7781E-02,7.7786E-02,1.1094E-01,1.1094E-01
"NaCl,aq",4.8364E-01,4.8364E-01,4.8364E-01,4.8364E-01,4.8365E-01,4.8377E-01,4.8493E-01,4.9628E-01,5.5634E-01,5.7133E-01,5.7134E-01,5.7350E-01,5.8729E-01,6.3716E-01,6.5125E-01,6.7161E-01,6.7198E-01,6.9609E-01,7.0149E-01,7.4491E-01,7.7185E-01,7.7782E-01,7.8997E-01,8.0553E-01,8.1078E-01,8.1077E-01,8.0356E-01,7.2499E-01,7.2493E-01,7.2441E-01,7.2451E-01,7.2495E-01,7.2298E-01,7.1314E-01,7.1313E-01,7.1308E-01,6.9059E-01,6.6595E-01,6.6593E-01,6.6593E-01,6.6591E-01,6.6590E-01,6.6588E-01,6.6584E-01,6.6578E-01,6.6288E-01,6.6288E-01
CaCl+,3.1587E-01,3.1587E-01,3.1587E-01,3.1587E-01,3.1589E-01,3.1601E-01,3.1726E-01,3.2979E-01,4.0950E-01,4.3424E-01,4.3424E-01,4.3808E-01,4.6401E-01,5.8251E-01,6.2352E-01,6.9167E-01,6.9314E-01,7.6967E-01,7.8377E-01,8.8991E-01,9.7719E-01,1.0012E+00,1.0467E+00,1.0803E+00,1.0861E+00,1.0861E+00,1.0798E+00,1.0057E+00,1.0056E+00,1.0044E+00,1.0044E+00,1.0045E+00,1.0230E+00,1.0460E+00,1.0460E+00,1.0459E+00,1.0180E+00,9.8810E-01,9.8808E-01,9.8807E-01,9.8805E-01,9.8803E-01,9.8801E-01,9.8796E-01,9.8789E-01,9.8180E-01,9.8180E-01
Mg(For)+,1.4474E-01,1.4474E-01,1.4474E-01,1.4474E-01,1.4474E-01,1.4474E-01,1.4476E-01,1.4490E-01,1.4432E-01,1.4370E-01,1.4370E-01,1.4373E-01,1.4372E-01,1.3981E-01,1.3739E-01,1.3282E-01,1.3272E-01,1.2615E-01,1.2448E-01,1.0487E-01,7.5179E-02,6.3914E-02,3.7376E-02,1.0916E-02,5.2557E-03,5.2552E-03,4.3538E-03,6.0536E-04,5.7634E-04,3.2316E-04,3.0913E-04,2.4773E-04,1.1661E-05,2.0070E-06,2.0066E-06,2.0035E-06,9.3763E-07,1.8674E-08,1.8672E-08,1.8670E-08,1.8664E-08,1.8659E-08,1.8652E-08,1.8637E-08,1.8618E-08,1.5106E-08,1.5106E-08
"MgCO3,aq",2.4340E-02,2.4340E-02,2.4340E-02,2.4340E-02,2.4338E-02,2.4322E-02,2.4153E-02,2.2495E-02,1.3651E-02,1.1482E-02,1.1481E-02,1.1115E-02,8.9099E-03,3.0981E-03,2.1189E-03,1.1620E-03,1.1491E-03,5.8096E-04,4.9962E-04,1.2268E-04,2.9245E-05,1.8423E-05,5.9632E-06,9.8826E-07,4.0849E-07,4.0848E-07,3.8543E-07,2.2088E-07,2.1395E-07,1.4781E-07,1.4108E-07,1.1190E-07,4.8881E-09,7.7961E-10,7.7958E-10,7.7936E-10,6.9455E-10,5.5433E-10,5.5430E-10,5.5429E-10,5.5425E-10,5.5422E-10,5.5418E-10,5.5408E-10,5.5396E-10,3.8466E-10,3.8466E-10
"CaCO3,aq",1.9068E-02,1.9068E-02,1.9068E-02,1.9068E-02,1.9068E-02,1.9063E-02,1.9015E-02,1.8497E-02,1.4137E-02,1.2611E-02,1.2610E-02,1.2316E-02,1.0447E-02,4.4870E-03,3.2619E-03,1.9220E-03,1.9016E-03,1.0017E-03,8.7264E-04,2.4923E-04,6.7348E-05,4.3336E-05,1.4243E-05,2.3135E-06,9.6701E-07,9.6698E-07,9.1507E-07,5.4094E-07,5.2462E-07,3.6849E-07,3.5253E-07,2.8310E-07,1.8634E-08,5.1374E-09,5.1373E-09,5.1364E-09,4.7756E-09,4.2537E-09,4.2535E-09,4.2534E-09,4.2533E-09,4.2531E-09,4.2528E-09,4.2523E-09,4.2517E-09,3.7886E-09,3.7886E-09
"Mg(For)2,aq",1.6224E-02,1.6224E-02,1.6224E-02,1.6224E-02,1.6224E-02,1.6222E-02,1.6202E-02,1.6002E-02,1.4773E-02,1.4406E-02,1.4406E-02,1.4379E-02,1.4170E-02,1.2885E-02,1.2388E-02,1.1667E-02,1.1658E-02,1.1052E-02,1.0900E-02,8.8154E-03,5.2569E-03,4.0148E-03,1.6038E-03,1.8423E-04,4.9725E-05,4.9716E-05,3.4575E-05,7.4694E-07,6.7909E-07,2.2092E-07,2.0298E-07,1.3295E-07,3.3985E-10,8.8032E-12,8.7995E-12,8.7727E-12,1.8909E-12,7.2225E-16,7.2209E-16,7.2192E-16,7.2148E-16,7.2106E-16,7.2056E-16,7.1942E-16,7.1793E-16,4.2354E-16,4.2354E-16
"FORMATE,aq",1.2189E-02,1.2189E-02,1.2189E-02,1.2189E-02,1.2190E-02,1.2198E-02,1.2279E-02,1.3094E-02,1.8243E-02,1.9785E-02,1.9786E-02,2.0042E-02,2.1740E-02,2.8839E-02,3.1125E-02,3.4338E-02,3.4379E-02,3.7294E-02,3.8005E-02,4.4107E-02,4.3381E-02,4.0496E-02,2.9285E-02,1.1728E-02,6.6087E-03,6.6081E-03,5.5497E-03,8.5996E-04,8.2145E-04,4.7883E-04,4.6026E-04,3.7788E-04,2.5472E-05,5.5257E-06,5.5245E-06,5.5165E-06,2.6189E-06,5.4136E-08,5.4131E-08,5.4125E-08,5.4109E-08,5.4093E-08,5.4075E-08,5.4033E-08,5.3979E-08,4.7304E-08,4.7304E-08
"Na(For),aq",8.6483E-03,8.6483E-03,8.6483E-03,8.6484E-03,8.6489E-03,8.6538E-03,8.7026E-03,9.1926E-03,1.2136E-02,1.2966E-02,1.2966E-02,1.3104E-02,1.3998E-02,1.7314E-02,1.8183E-02,1.9100E-02,1.9106E-02,1.9688E-02,1.9843E-02,2.0513E-02,1.7311E-02,1.5305E-02,9.6788E-03,3.1621E-03,1.6259E-03,1.6258E-03,1.3511E-03,1.9129E-04,1.8243E-04,1.0443E-04,1.0017E-04,8.1382E-05,4.9552E-06,1.0639E-06,1.0637E-06,1.0621E-06,4.9807E-07,1.0203E-08,1.0202E-08,1.0201E-08,1.0197E-08,1.0194E-08,1.0191E-08,1.0183E-08,1.0172E-08,9.0359E-09,9.0359E-09
