Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45
CaHSiO3+,2.2855E-07,2.2855E-07,2.2855E-07,2.2855E-07,2.2855E-07,2.2856E-07,2.2864E-07,2.2947E-07,2.3772E-07,2.8666E-07,3.1973E-07,3.8154E-07,4.0084E-07,4.2487E-07,4.2521E-07,4.3977E-07,4.4343E-07,4.5193E-07,4.3503E-07,4.3501E-07,4.3096E-07,3.7279E-07,2.9532E-07,2.5308E-07,2.5308E-07,2.5159E-07,2.2958E-07,2.2958E-07,2.3033E-07,2.4602E-07,2.6428E-07,2.6563E-07,4.1279E-07,4.2819E-07,4.7915E-07,4.7913E-07,4.7505E-07,4.7224E-07,4.0193E-07,4.0193E-07,4.0178E-07,4.1056E-07,4.1055E-07,4.1051E-07,4.5006E-07,4.5006E-07
Mg+2,1.0702E-07,1.0702E-07,1.0702E-07,1.0702E-07,1.0702E-07,1.0703E-07,1.0717E-07,1.0861E-07,1.2377E-07,2.4986E-07,3.8014E-07,7.7615E-07,9.6300E-07,1.2545E-06,1.2587E-06,1.5419E-06,1.6727E-06,2.8403E-06,4.0044E-06,4.0050E-06,4.1125E-06,4.4558E-06,3.7902E-06,3.4752E-06,3.4752E-06,3.4593E-06,3.2347E-06,3.2347E-06,3.2657E-06,3.9857E-06,5.0015E-06,5.0867E-06,2.5390E-05,2.9323E-05,4.5994E-05,4.6002E-05,4.8276E-05,5.1771E-05,5.3465E-04,5.3467E-04,5.4774E-04,6.5076E-04,6.5088E-04,6.5147E-04,9.9837E-04,9.9837E-04
MgCl+,9.9466E-08,9.9466E-08,9.9466E-08,9.9466E-08,9.9468E-08,9.9480E-08,9.9603E-08,1.0084E-07,1.1396E-07,2.2925E-07,3.6236E-07,8.6417E-07,1.1549E-06,1.7441E-06,1.7583E-06,2.6898E-06,3.1153E-06,7.4514E-06,1.4773E-05,1.4779E-05,1.5880E-05,2.9287E-05,4.6817E-05,6.0460E-05,6.0461E-05,6.0624E-05,6.1437E-05,6.1438E-05,6.2198E-05,8.0142E-05,1.0600E-04,1.0817E-04,5.9524E-04,6.8112E-04,1.0229E-03,1.0230E-03,1.0473E-03,1.1173E-03,8.8723E-03,8.8724E-03,8.9628E-03,9.7018E-03,9.7023E-03,9.7052E-03,1.1982E-02,1.1982E-02
MgOH+,4.8174E-08,4.8174E-08,4.8174E-08,4.8174E-08,4.8174E-08,4.8179E-08,4.8227E-08,4.8714E-08,5.3823E-08,9.5254E-08,1.3824E-07,2.7805E-07,3.4996E-07,4.7853E-07,4.8111E-07,6.4940E-07,7.2514E-07,1.4453E-06,2.4761E-06,2.4769E-06,2.6168E-06,4.0578E-06,5.4334E-06,6.3787E-06,6.3788E-06,6.4107E-06,6.8582E-06,6.8582E-06,6.8716E-06,7.1747E-06,7.5771E-06,7.6104E-06,1.2563E-05,1.3230E-05,1.5639E-05,1.5642E-05,1.6337E-05,1.6843E-05,4.7601E-05,4.7603E-05,4.8471E-05,5.4280E-05,5.4287E-05,5.4326E-05,7.0011E-05,7.0011E-05
"FeO,aq",1.0818E-08,1.0818E-08,1.0818E-08,1.0818E-08,1.0818E-08,1.0819E-08,1.0831E-08,1.0955E-08,1.2250E-08,2.2407E-08,3.2161E-08,5.9562E-08,7.1908E-08,9.2935E-08,9.3395E-08,1.2066E-07,1.3148E-07,2.1054E-07,2.9273E-07,2.9277E-07,2.9987E-07,3.5627E-07,3.8788E-07,3.9515E-07,3.9514E-07,3.8548E-07,2.3793E-07,2.3793E-07,2.3668E-07,2.1160E-07,1.8606E-07,1.8423E-07,8.5146E-08,8.0593E-08,6.8644E-08,6.8616E-08,6.1734E-08,6.0943E-08,4.0665E-08,4.0663E-08,3.9413E-08,3.5849E-08,3.5838E-08,3.5780E-08,3.5788E-08,3.5788E-08
"MgCO3,aq",5.7308E-09,5.7308E-09,5.7308E-09,5.7308E-09,5.7308E-09,5.7313E-09,5.7354E-09,5.7773E-09,6.2024E-09,8.8663E-09,1.0644E-08,1.3266E-08,1.3740E-08,1.4043E-08,1.4048E-08,1.3951E-08,1.3766E-08,1.1672E-08,9.4436E-09,9.4409E-09,8.9501E-09,5.6707E-09,3.8374E-09,2.9884E-09,2.9886E-09,3.1172E-09,4.9600E-09,4.9599E-09,4.9285E-09,4.1221E-09,3.0905E-09,3.0160E-09,3.0125E-10,2.5175E-10,1.4854E-10,1.4848E-10,1.3408E-10,1.2854E-10,3.4238E-11,3.4237E-11,3.3216E-11,2.7065E-11,2.7058E-11,2.7024E-11,1.7957E-11,1.7957E-11
FeOH+,2.5539E-09,2.5539E-09,2.5539E-09,2.5539E-09,2.5539E-09,2.5543E-09,2.5577E-09,2.5921E-09,2.9574E-09,6.0572E-09,9.3480E-09,1.9754E-08,2.4847E-08,3.3694E-08,3.3876E-08,4.4893E-08,4.9422E-08,8.4886E-08,1.2228E-07,1.2229E-07,1.2531E-07,1.4172E-07,1.3494E-07,1.2616E-07,1.2616E-07,1.2255E-07,7.0870E-08,7.0870E-08,7.1125E-08,7.6223E-08,8.1628E-08,8.1968E-08,1.2282E-07,1.2753E-07,1.4367E-07,1.4361E-07,1.2937E-07,1.3275E-07,3.0913E-07,3.0912E-07,3.0059E-07,2.8470E-07,2.8462E-07,2.8418E-07,3.2377E-07,3.2377E-07
Mg(For)+,1.4894E-09,1.4894E-09,1.4894E-09,1.4894E-09,1.4894E-09,1.4896E-09,1.4918E-09,1.5142E-09,1.7538E-09,3.9619E-09,6.5573E-09,1.5734E-08,2.0546E-08,2.9331E-08,2.9526E-08,4.1327E-08,4.6189E-08,8.5492E-08,1.3169E-07,1.3172E-07,1.3785E-07,1.9354E-07,2.2479E-07,2.2314E-07,2.2314E-07,2.1709E-07,8.6635E-08,8.6634E-08,8.5754E-08,6.5525E-08,4.3715E-08,4.3166E-08,1.1283E-08,1.0166E-08,7.5251E-09,7.5106E-09,4.1206E-09,4.0869E-09,3.1562E-09,3.1550E-09,2.4587E-09,1.2160E-10,1.2146E-10,1.2077E-10,1.0327E-10,1.0327E-10
"SiO2,aq",7.1661E-10,7.1661E-10,7.1661E-10,7.1661E-10,7.1663E-10,7.1685E-10,7.1906E-10,7.4139E-10,1.0003E-09,4.7648E-09,1.1566E-08,4.9047E-08,7.5714E-08,1.3809E-07,1.3972E-07,2.5617E-07,3.1391E-07,9.7932E-07,2.3090E-06,2.3100E-06,2.5252E-06,5.6713E-06,1.1467E-05,1.6430E-05,1.6431E-05,1.6580E-05,1.8832E-05,1.8833E-05,1.9172E-05,2.7546E-05,4.0542E-05,4.1641E-05,3.1714E-04,3.6501E-04,5.4811E-04,5.4812E-04,5.5000E-04,5.6795E-04,1.5072E-03,1.5072E-03,1.5061E-03,1.5322E-03,1.5321E-03,1.5320E-03,1.6298E-03,1.6298E-03
Fe+2,2.2037E-11,2.2037E-11,2.2037E-11,2.2037E-11,2.2038E-11,2.2043E-11,2.2093E-11,2.2603E-11,2.8290E-11,9.4313E-11,1.9278E-10,6.4421E-10,9.2616E-10,1.4682E-09,1.4785E-09,2.1863E-09,2.5256E-09,6.0188E-09,1.0654E-08,1.0656E-08,1.1068E-08,1.2758E-08,1.0878E-08,9.8241E-09,9.8238E-09,9.5157E-09,5.2982E-09,5.2983E-09,5.3717E-09,7.1093E-09,9.6418E-09,9.8482E-09,6.8730E-08,8.1341E-08,1.3707E-07,1.3703E-07,1.2800E-07,1.3804E-07,1.6991E-06,1.6990E-06,1.6819E-06,1.8441E-06,1.8438E-06,1.8421E-06,3.0770E-06,3.0770E-06
FeCl+,1.2549E-11,1.2549E-11,1.2549E-11,1.2549E-11,1.2549E-11,1.2552E-11,1.2580E-11,1.2864E-11,1.6047E-11,5.4943E-11,1.1904E-10,4.8114E-10,7.5230E-10,1.4089E-09,1.4268E-09,2.7235E-09,3.3791E-09,1.1363E-08,2.8088E-08,2.8100E-08,3.0551E-08,6.0827E-08,9.8646E-08,1.2297E-07,1.2297E-07,1.1989E-07,7.1441E-08,7.1442E-08,7.2587E-08,9.9949E-08,1.4010E-07,1.4336E-07,9.0588E-07,1.0395E-06,1.5631E-06,1.5624E-06,1.3985E-06,1.4909E-06,1.1045E-05,1.1044E-05,1.0696E-05,1.0056E-05,1.0053E-05,1.0034E-05,1.1577E-05,1.1577E-05
"Mg(For)2,aq",1.1225E-11,1.1225E-11,1.1225E-11,1.1225E-11,1.1226E-11,1.1227E-11,1.1243E-11,1.1405E-11,1.3145E-11,2.9397E-11,4.8815E-11,1.1792E-10,1.5379E-10,2.2147E-10,2.2322E-10,3.2515E-10,3.6477E-10,6.5089E-10,9.8115E-10,9.8140E-10,1.0316E-09,1.5924E-09,2.1276E-09,2.1262E-09,2.1261E-09,2.0188E-09,3.3966E-10,3.3965E-10,3.2954E-10,1.5706E-10,5.5662E-11,5.3365E-11,7.8431E-13,5.5742E-13,2.0224E-13,2.0143E-13,5.8687E-14,5.4028E-14,3.6082E-15,3.6056E-15,2.1522E-15,4.6319E-18,4.6209E-18,4.5655E-18,2.3962E-18,2.3962E-18
"FORMIC ACID,aq",2.0679E-12,2.0679E-12,2.0679E-12,2.0679E-12,2.0679E-12,2.0688E-12,2.0778E-12,2.1693E-12,3.3202E-12,3.4148E-11,1.4143E-10,1.6752E-09,3.6134E-09,1.0436E-08,1.0654E-08,3.1221E-08,4.4837E-08,3.4409E-07,1.5957E-06,1.5970E-06,1.8772E-06,7.9301E-06,2.6662E-05,4.8144E-05,4.8144E-05,4.7798E-05,2.5717E-05,2.5717E-05,2.5620E-05,2.2334E-05,1.7166E-05,1.7106E-05,8.8295E-06,8.3181E-06,6.9840E-06,6.9717E-06,3.9930E-06,3.9376E-06,2.5060E-06,2.5051E-06,1.9752E-06,1.0694E-07,1.0683E-07,1.0627E-07,1.1042E-07,1.1042E-07
FeO2-,1.0705E-12,1.0705E-12,1.0705E-12,1.0705E-12,1.0705E-12,1.0708E-12,1.0742E-12,1.1077E-12,1.4994E-12,7.5877E-12,1.9720E-11,9.7219E-11,1.5697E-10,2.9595E-10,2.9929E-10,5.4328E-10,6.6671E-10,2.0947E-09,4.6436E-09,4.6449E-09,4.8948E-09,7.4146E-09,9.6303E-09,1.0664E-08,1.0664E-08,1.0845E-08,1.4641E-08,1.4641E-08,1.4552E-08,1.2879E-08,1.1345E-08,1.1122E-08,2.4870E-09,2.2436E-09,1.6681E-09,1.6689E-09,1.9764E-09,1.9016E-09,6.0188E-10,6.0195E-10,6.5796E-10,2.6294E-09,2.6299E-09,2.6325E-09,2.8271E-09,2.8271E-09
MgHCO3+,8.2909E-13,8.2909E-13,8.2909E-13,8.2909E-13,8.2912E-13,8.2936E-13,8.3182E-13,8.5675E-13,1.1487E-12,6.0665E-12,1.7620E-11,1.2366E-10,2.3146E-10,5.5727E-10,5.6712E-10,1.4047E-09,1.9084E-09,1.1102E-08,4.3995E-08,4.4022E-08,4.9525E-08,1.5178E-07,4.1542E-07,6.8826E-07,6.8832E-07,7.3371E-07,1.5779E-06,1.5779E-06,1.5954E-06,1.9051E-06,2.1035E-06,2.1089E-06,1.8278E-06,1.7934E-06,1.7021E-06,1.7018E-06,1.6228E-06,1.6422E-06,2.4247E-06,2.4247E-06,2.3931E-06,2.2281E-06,2.2278E-06,2.2263E-06,2.0311E-06,2.0311E-06
"CO2,aq",5.3508E-13,5.3508E-13,5.3508E-13,5.3508E-13,5.3510E-13,5.3536E-13,5.3798E-13,5.6478E-13,9.1455E-13,1.3666E-11,7.5363E-11,1.6484E-09,4.4296E-09,1.7809E-08,1.8316E-08,7.8626E-08,1.2860E-07,2.1313E-06,1.9090E-05,1.9110E-05,2.3438E-05,1.6465E-04,1.0155E-03,2.6425E-03,2.6427E-03,2.8629E-03,7.8941E-03,7.8943E-03,8.0205E-03,1.0563E-02,1.2931E-02,1.3049E-02,1.7537E-02,1.7629E-02,1.7825E-02,1.7824E-02,1.7543E-02,1.7557E-02,1.7744E-02,1.7744E-02,1.7646E-02,1.7329E-02,1.7328E-02,1.7321E-02,1.7330E-02,1.7330E-02
Fe(For)+,5.0934E-13,5.0934E-13,5.0934E-13,5.0934E-13,5.0936E-13,5.0948E-13,5.1074E-13,5.2342E-13,6.6683E-13,2.5022E-12,5.5701E-12,2.1770E-11,3.2814E-11,5.6970E-11,5.7584E-11,9.8362E-11,1.1689E-10,2.9123E-10,5.3975E-10,5.3990E-10,5.6943E-10,8.3107E-10,9.4552E-10,8.9002E-10,8.8996E-10,8.4148E-10,1.9607E-10,1.9606E-10,1.9474E-10,1.5852E-10,1.1171E-10,1.1059E-10,3.2808E-11,2.9632E-11,2.1945E-11,2.1891E-11,1.0500E-11,1.0407E-11,7.5158E-12,7.5126E-12,5.6138E-12,2.4145E-13,2.4108E-13,2.3920E-13,1.9188E-13,1.9188E-13
"HCl,aq",3.9791E-13,3.9791E-13,3.9791E-13,3.9791E-13,3.9792E-13,3.9804E-13,3.9920E-13,4.1100E-13,5.4837E-13,2.7351E-12,7.5222E-12,4.7550E-11,8.6653E-11,2.0268E-10,2.0612E-10,5.0166E-10,6.8259E-10,4.1868E-09,1.7795E-08,1.7809E-08,2.0769E-08,8.5705E-08,3.2076E-07,7.0258E-07,7.0260E-07,7.1790E-07,9.6756E-07,9.6758E-07,9.8573E-07,1.4462E-06,2.2076E-06,2.2742E-06,2.7248E-05,3.3062E-05,5.9068E-05,5.9087E-05,6.4103E-05,6.8304E-05,5.3558E-04,5.3560E-04,5.5131E-04,6.8700E-04,6.8713E-04,6.8783E-04,1.1631E-03,1.1631E-03
H+,3.6559E-13,3.6559E-13,3.6559E-13,3.6559E-13,3.6561E-13,3.6574E-13,3.6703E-13,3.8015E-13,5.3763E-13,3.5529E-12,1.1181E-11,8.2014E-11,1.5242E-10,3.6196E-10,3.6838E-10,8.9448E-10,1.1941E-09,5.6836E-09,1.7676E-08,1.7687E-08,1.9889E-08,5.6665E-08,1.3376E-07,2.0047E-07,2.0047E-07,2.0252E-07,2.3081E-07,2.3081E-07,2.3383E-07,3.0405E-07,4.0159E-07,4.0941E-07,1.6808E-06,1.8446E-06,2.4020E-06,2.4019E-06,2.3912E-06,2.4782E-06,7.1024E-06,7.1024E-06,7.0644E-06,6.8666E-06,6.8662E-06,6.8643E-06,6.4457E-06,6.4457E-06
MgHSiO3+,3.4046E-13,3.4046E-13,3.4046E-13,3.4046E-13,3.4046E-13,3.4051E-13,3.4097E-13,3.4564E-13,3.9557E-13,8.4457E-13,1.3665E-12,3.2660E-12,4.3085E-12,6.2191E-12,6.2575E-12,8.7973E-12,9.9589E-12,2.1199E-11,3.6958E-11,3.6969E-11,3.8998E-11,5.7982E-11,7.2016E-11,8.0800E-11,8.0800E-11,8.0964E-11,8.3327E-11,8.3329E-11,8.4676E-11,1.1772E-10,1.6892E-10,1.7334E-10,1.5413E-09,1.8348E-09,3.1107E-09,3.1112E-09,3.2258E-09,3.4240E-09,2.4425E-08,2.4425E-08,2.4851E-08,2.8370E-08,2.8374E-08,2.8392E-08,3.9747E-08,3.9747E-08
"FORMALDEHYDE,aq",1.8877E-14,1.8877E-14,1.8877E-14,1.8877E-14,1.8878E-14,1.8886E-14,1.8968E-14,1.9803E-14,3.0277E-14,3.0263E-13,1.2072E-12,1.2891E-11,2.6665E-11,7.2118E-11,7.3523E-11,1.9899E-10,2.7769E-10,1.7660E-09,6.8336E-09,6.8397E-09,8.1236E-09,3.4333E-08,1.0122E-07,1.6162E-07,1.6161E-07,1.4818E-07,1.7454E-08,1.7453E-08,1.7087E-08,1.0300E-08,5.1972E-09,5.1297E-09,1.1911E-09,1.0564E-09,7.4125E-10,7.3871E-10,2.4784E-10,2.4077E-10,9.1834E-11,9.1774E-11,5.7330E-11,1.6849E-13,1.6815E-13,1.6644E-13,1.6799E-13,1.6799E-13
"Fe(For)2,aq",7.6547E-15,7.6547E-15,7.6547E-15,7.6547E-15,7.6549E-15,7.6569E-15,7.6763E-15,7.8727E-15,1.0107E-14,3.9860E-14,9.1614E-14,3.7391E-13,5.6784E-13,9.9986E-13,1.0115E-12,1.7796E-12,2.1212E-12,5.1340E-12,9.2514E-12,9.2541E-12,9.7775E-12,1.4945E-11,1.8185E-11,1.6656E-11,1.6655E-11,1.5357E-11,1.4970E-12,1.4970E-12,1.4573E-12,7.3903E-13,2.7692E-13,2.6622E-13,4.7415E-15,3.4118E-15,1.2818E-15,1.2761E-15,3.2864E-16,3.0333E-16,2.1733E-17,2.1716E-17,1.2498E-17,2.4332E-20,2.4265E-20,2.3929E-20,1.2960E-20,1.2960E-20
"CO,aq",3.1109E-15,3.1109E-15,3.1109E-15,3.1109E-15,3.1111E-15,3.1127E-15,3.1288E-15,3.2938E-15,5.4831E-15,9.5475E-14,5.8045E-13,1.5358E-11,4.4208E-11,1.9596E-10,2.0183E-10,9.5294E-10,1.6233E-09,3.5968E-08,4.1718E-07,4.1775E-07,5.4353E-07,6.0654E-06,5.1646E-05,1.5803E-04,1.5803E-04,1.5936E-04,1.0708E-04,1.0708E-04,1.0727E-04,1.0493E-04,9.1598E-05,9.2084E-05,9.6900E-05,9.6294E-05,9.4713E-05,9.4562E-05,5.6489E-05,5.6429E-05,5.4446E-05,5.4429E-05,4.3471E-05,2.5756E-06,2.5732E-06,2.5608E-06,3.2418E-06,3.2418E-06
"HFeO2,aq",2.9527E-15,2.9527E-15,2.9527E-15,2.9527E-15,2.9528E-15,2.9542E-15,2.9678E-15,3.1072E-15,4.8766E-15,5.2668E-14,2.0755E-13,1.9215E-12,3.6740E-12,8.6505E-12,8.7906E-12,1.9801E-11,2.5756E-11,9.9337E-11,2.2779E-10,2.2786E-10,2.3973E-10,3.4377E-10,4.0296E-10,4.1336E-10,4.1336E-10,4.1885E-10,5.3702E-10,5.3702E-10,5.3839E-10,5.6762E-10,6.0185E-10,5.9778E-10,3.5279E-10,3.3975E-10,3.0442E-10,3.0454E-10,3.5442E-10,3.5136E-10,2.7181E-10,2.7184E-10,2.9504E-10,1.1250E-09,1.1252E-09,1.1260E-09,1.0833E-09,1.0833E-09
"FeCl2,aq",3.6904E-20,3.6904E-20,3.6904E-20,3.6904E-20,3.6907E-20,3.6934E-20,3.7198E-20,3.9947E-20,8.0841E-20,3.9829E-18,4.4896E-17,3.4528E-15,1.3883E-14,1.0006E-13,1.0420E-13,8.3371E-13,1.6700E-12,8.2160E-11,1.5962E-09,1.5987E-09,2.1651E-09,3.3533E-08,3.5744E-07,1.2092E-06,1.2092E-06,1.2121E-06,1.0520E-06,1.0521E-06,1.0793E-06,1.8071E-06,3.1193E-06,3.2369E-06,5.3592E-05,6.5031E-05,1.1360E-04,1.1357E-04,1.0507E-04,1.1321E-04,1.0757E-03,1.0757E-03,1.0459E-03,1.0081E-03,1.0078E-03,1.0060E-03,1.1932E-03,1.1932E-03
FeO+,2.2001E-20,2.2001E-20,2.2001E-20,2.2001E-20,2.2002E-20,2.2013E-20,2.2125E-20,2.3268E-20,3.8208E-20,5.4627E-19,2.6390E-18,3.7454E-17,8.3493E-17,2.4537E-16,2.5038E-16,7.0972E-16,1.0056E-15,6.7774E-15,2.5145E-14,2.5158E-14,2.7854E-14,6.2341E-14,1.0442E-13,1.3091E-13,1.3091E-13,1.3317E-13,1.7956E-13,1.7956E-13,1.8218E-13,2.4537E-13,3.4012E-13,3.4429E-13,9.8665E-13,1.0749E-12,1.3958E-12,1.3965E-12,1.6660E-12,1.7297E-12,5.9563E-12,5.9570E-12,6.5341E-12,2.7338E-11,2.7344E-11,2.7373E-11,3.3728E-11,3.3728E-11
FeOH+2,2.9963E-28,2.9963E-28,2.9963E-28,2.9963E-28,2.9965E-28,2.9985E-28,3.0185E-28,3.2250E-28,6.1953E-28,2.1705E-26,1.8789E-25,7.9755E-24,2.5550E-23,1.2225E-22,1.2572E-22,5.6669E-22,9.6176E-22,2.1125E-20,2.0260E-19,2.0281E-19,2.4686E-19,1.2091E-18,3.7744E-18,7.1148E-18,7.1150E-18,7.3221E-18,1.1669E-17,1.1670E-17,1.2022E-17,2.2246E-17,4.4068E-17,4.5759E-17,1.3005E-15,1.7201E-15,4.0552E-15,4.0586E-15,5.2772E-15,5.8539E-15,1.8787E-13,1.8790E-13,2.1347E-13,1.1754E-12,1.1760E-12,1.1786E-12,2.8945E-12,2.8945E-12
FeCl+2,5.0015E-36,5.0015E-36,5.0015E-36,5.0015E-36,5.0019E-36,5.0060E-36,5.0463E-36,5.4671E-36,1.2058E-35,9.2508E-34,1.3303E-32,1.4675E-30,6.4648E-30,4.8872E-29,5.0724E-29,3.7169E-28,7.4661E-28,4.4561E-26,9.5130E-25,9.5270E-25,1.2619E-24,1.3269E-23,8.1310E-23,2.2486E-22,2.2487E-22,2.3311E-22,4.0561E-22,4.0563E-22,4.2370E-22,1.0413E-21,2.8129E-21,2.9854E-21,5.0481E-19,7.6448E-19,2.6974E-18,2.6999E-18,3.6113E-18,4.2051E-18,6.3465E-16,6.3478E-16,7.2890E-16,4.4193E-15,4.4215E-15,4.4330E-15,1.4058E-14,1.4058E-14
Fe+3,8.2728E-38,8.2728E-38,8.2728E-38,8.2728E-38,8.2734E-38,8.2801E-38,8.3463E-38,9.0374E-38,1.9806E-37,1.4143E-35,1.8787E-34,1.6658E-32,6.6946E-32,4.2589E-31,4.3966E-31,2.5076E-30,4.6778E-30,1.8975E-28,2.7674E-27,2.7708E-27,3.4885E-27,2.0187E-26,6.0344E-26,1.1240E-25,1.1240E-25,1.1561E-25,1.8603E-25,1.8604E-25,1.9371E-25,4.4747E-25,1.1379E-24,1.2030E-24,1.8107E-22,2.7699E-22,1.0252E-21,1.0263E-21,1.4216E-21,1.6650E-21,3.3721E-19,3.3729E-19,3.9456E-19,2.6813E-18,2.6832E-18,2.6924E-18,1.0863E-17,1.0863E-17
HO2-,9.9734E-66,9.9734E-66,9.9734E-66,9.9734E-66,9.9752E-66,9.9930E-66,1.0171E-65,1.2136E-65,6.9468E-65,9.9477E-61,3.5050E-58,1.0651E-53,2.7637E-52,2.5395E-50,2.7728E-50,2.7730E-48,1.3333E-47,1.0212E-43,8.8515E-41,8.8823E-41,1.7345E-40,7.3939E-38,1.4040E-35,2.2310E-34,2.2314E-34,2.6238E-34,3.8256E-33,3.8258E-33,3.9586E-33,8.0801E-33,1.7958E-32,1.8595E-32,2.9888E-31,3.6644E-31,6.6889E-31,6.7051E-31,1.3807E-30,1.4281E-30,4.4520E-30,4.4538E-30,5.9417E-30,1.5878E-28,1.5900E-28,1.6011E-28,3.6109E-28,3.6109E-28
"H2O2,aq",1.9845E-66,1.9845E-66,1.9845E-66,1.9845E-66,1.9848E-66,1.9888E-66,2.0281E-66,2.4663E-66,1.7036E-65,6.9616E-61,4.7525E-58,4.8327E-53,1.8582E-51,3.0131E-49,3.3295E-49,6.1467E-47,3.6226E-46,8.6905E-42,1.8270E-38,1.8342E-38,3.9386E-38,4.0860E-35,1.7883E-32,4.5515E-31,4.5524E-31,5.4273E-31,9.6597E-30,9.6604E-30,1.0143E-29,2.7897E-29,8.5563E-29,9.0607E-29,8.3638E-27,1.1616E-26,3.0496E-26,3.0574E-26,6.5030E-26,7.0318E-26,8.5997E-25,8.6034E-25,1.1576E-24,3.2829E-23,3.2876E-23,3.3115E-23,8.4147E-23,8.4147E-23
"O2,aq",2.5273E-97,2.5273E-97,2.5273E-97,2.5272E-97,2.5280E-97,2.5354E-97,2.6095E-97,3.4800E-97,5.9926E-96,3.9919E-89,6.6831E-85,2.2287E-77,5.5630E-75,1.2599E-71,1.4670E-71,4.2453E-68,6.4381E-67,3.7059E-60,5.7283E-55,5.7636E-55,1.8904E-54,1.0294E-49,1.7407E-45,3.3906E-43,3.3918E-43,4.6495E-43,8.9782E-41,8.9792E-41,9.7863E-41,5.8654E-40,4.2984E-39,4.7395E-39,1.1522E-35,2.0413E-35,1.1018E-34,1.1072E-34,4.7079E-34,5.4001E-34,4.5180E-32,4.5217E-32,8.0563E-32,5.7895E-29,5.8054E-29,5.8873E-29,2.9838E-28,2.9838E-28
gCl-,-0.2502,-0.2502,-0.2502,-0.2502,-0.2502,-0.2502,-0.2502,-0.2503,-0.2516,-0.2597,-0.2660,-0.2808,-0.2867,-0.2926,-0.2924,-0.2940,-0.2975,-0.3385,-0.3816,-0.3816,-0.3861,-0.4264,-0.4732,-0.5181,-0.5181,-0.5196,-0.5426,-0.5426,-0.5433,-0.5594,-0.5793,-0.5808,-0.7446,-0.7610,-0.8138,-0.8139,-0.8275,-0.8322,-1.0087,-1.0087,-1.0144,-1.0577,-1.0577,-1.0579,-1.1665,-1.1665
gNa+,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0007,0.0022,0.0106,0.0089,-0.0079,-0.0167,-0.0305,-0.0308,-0.0447,-0.0508,-0.1060,-0.1822,-0.1823,-0.1926,-0.3111,-0.4590,-0.5597,-0.5597,-0.5629,-0.6064,-0.6064,-0.6076,-0.6320,-0.6601,-0.6620,-0.8422,-0.8574,-0.9038,-0.9038,-0.9139,-0.9178,-1.0501,-1.0501,-1.0535,-1.0806,-1.0806,-1.0807,-1.1475,-1.1475
"gNaCl,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCa+2,-0.4418,-0.4418,-0.4418,-0.4418,-0.4418,-0.4418,-0.4418,-0.4414,-0.4385,-0.4358,-0.4464,-0.4904,-0.5112,-0.5382,-0.5383,-0.5583,-0.5718,-0.7108,-0.8830,-0.8831,-0.9045,-1.1327,-1.4125,-1.6211,-1.6212,-1.6280,-1.7257,-1.7257,-1.7284,-1.7861,-1.8541,-1.8590,-2.3367,-2.3798,-2.5137,-2.5138,-2.5464,-2.5579,-2.9620,-2.9621,-2.9740,-3.0646,-3.0646,-3.0650,-3.2836,-3.2836
gK+,-0.0641,-0.0641,-0.0641,-0.0641,-0.0641,-0.0641,-0.0641,-0.0638,-0.0611,-0.0541,-0.0570,-0.0765,-0.0864,-0.1010,-0.1012,-0.1147,-0.1213,-0.1843,-0.2688,-0.2689,-0.2800,-0.4053,-0.5608,-0.6693,-0.6693,-0.6727,-0.7187,-0.7187,-0.7200,-0.7473,-0.7789,-0.7811,-0.9912,-1.0095,-1.0657,-1.0658,-1.0779,-1.0826,-1.2480,-1.2480,-1.2523,-1.2869,-1.2869,-1.2871,-1.3743,-1.3743
"gCaCl2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
