Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45
Ca+2,2.1243E-01,2.1243E-01,2.1243E-01,2.1243E-01,2.1243E-01,2.1244E-01,2.1245E-01,2.1263E-01,2.1419E-01,2.1603E-01,2.1138E-01,1.9169E-01,1.8236E-01,1.6373E-01,1.6311E-01,1.3592E-01,1.2851E-01,9.4879E-02,6.8608E-02,6.8592E-02,6.5540E-02,3.7343E-02,1.8424E-02,1.2579E-02,1.2579E-02,1.2414E-02,1.0219E-02,1.0219E-02,1.0188E-02,9.6033E-03,9.1082E-03,9.0807E-03,9.1655E-03,9.3937E-03,1.0335E-02,1.0336E-02,1.0532E-02,1.0638E-02,1.6393E-02,1.6394E-02,1.6621E-02,1.8707E-02,1.8708E-02,1.8717E-02,2.6002E-02,2.6002E-02
K+,1.1055E-01,1.1055E-01,1.1055E-01,1.1055E-01,1.1055E-01,1.1055E-01,1.1055E-01,1.1055E-01,1.1051E-01,1.1019E-01,1.0989E-01,1.0908E-01,1.0871E-01,1.0805E-01,1.0803E-01,1.0709E-01,1.0672E-01,1.0406E-01,1.0120E-01,1.0120E-01,1.0081E-01,9.6672E-02,9.1809E-02,8.8722E-02,8.8722E-02,8.8244E-02,7.9477E-02,7.9477E-02,7.9436E-02,7.8611E-02,7.7775E-02,7.7728E-02,7.4448E-02,7.4265E-02,7.3785E-02,7.3779E-02,7.2243E-02,7.2210E-02,7.1487E-02,7.1486E-02,7.1038E-02,6.9555E-02,6.9550E-02,6.9524E-02,6.9611E-02,6.9611E-02
"CaCl2,aq",1.0674E-01,1.0674E-01,1.0674E-01,1.0674E-01,1.0674E-01,1.0673E-01,1.0668E-01,1.0619E-01,1.0148E-01,8.1238E-02,7.2960E-02,6.4612E-02,6.3357E-02,6.3895E-02,6.4010E-02,6.8083E-02,6.8749E-02,6.9548E-02,7.1734E-02,7.1736E-02,7.2212E-02,7.9966E-02,9.2167E-02,9.9858E-02,9.9857E-02,9.9403E-02,8.9272E-02,8.9272E-02,8.9315E-02,9.0239E-02,9.1295E-02,9.1383E-02,9.4769E-02,9.4598E-02,9.3612E-02,9.3603E-02,9.1049E-02,9.0914E-02,8.1962E-02,8.1960E-02,8.1050E-02,7.6758E-02,7.6749E-02,7.6704E-02,7.0407E-02,7.0407E-02
CaCl+,7.9985E-02,7.9985E-02,7.9985E-02,7.9985E-02,7.9986E-02,7.9988E-02,8.0011E-02,8.0245E-02,8.2595E-02,9.7407E-02,1.0879E-01,1.3508E-01,1.4532E-01,1.6300E-01,1.6349E-01,1.8627E-01,1.9295E-01,2.2567E-01,2.4970E-01,2.4972E-01,2.5218E-01,2.7153E-01,2.7692E-01,2.7370E-01,2.7370E-01,2.7230E-01,2.4519E-01,2.4519E-01,2.4508E-01,2.4297E-01,2.4105E-01,2.4096E-01,2.3617E-01,2.3599E-01,2.3553E-01,2.3551E-01,2.3104E-01,2.3098E-01,2.2417E-01,2.2416E-01,2.2269E-01,2.1715E-01,2.1714E-01,2.1705E-01,2.1305E-01,2.1305E-01
"H2,aq",5.0313E-02,5.0313E-02,5.0313E-02,5.0313E-02,5.0314E-02,5.0315E-02,5.0330E-02,5.0476E-02,5.1953E-02,6.1103E-02,6.7787E-02,8.2313E-02,8.7804E-02,9.6266E-02,9.6443E-02,1.0625E-01,1.0986E-01,1.3324E-01,1.5424E-01,1.5428E-01,1.6167E-01,2.2986E-01,2.8673E-01,3.1464E-01,3.1462E-01,2.9341E-01,7.4909E-02,7.4907E-02,7.3805E-02,5.3881E-02,3.7588E-02,3.7382E-02,2.4037E-02,2.3285E-02,2.1209E-02,2.1177E-02,1.2856E-02,1.2756E-02,9.7198E-03,9.7168E-03,7.7895E-03,4.5243E-04,4.5204E-04,4.5005E-04,4.9285E-04,4.9285E-04
"CaCO3,aq",1.4846E-02,1.4846E-02,1.4846E-02,1.4846E-02,1.4846E-02,1.4845E-02,1.4843E-02,1.4820E-02,1.4570E-02,1.2596E-02,1.0912E-02,7.4092E-03,6.2904E-03,4.8530E-03,4.8274E-03,3.5479E-03,3.1534E-03,1.4427E-03,7.1027E-04,7.0987E-04,6.3668E-04,2.4088E-04,1.0171E-04,6.1151E-05,6.1153E-05,6.3353E-05,9.1566E-05,9.1564E-05,8.9895E-05,5.8825E-05,3.3874E-05,3.2442E-05,7.5655E-07,5.6991E-07,2.4831E-07,2.4821E-07,2.2191E-07,2.0132E-07,9.6251E-09,9.6246E-09,9.3201E-09,7.6028E-09,7.6008E-09,7.5905E-09,5.1546E-09,5.1546E-09
"NaOH,aq",1.4340E-02,1.4340E-02,1.4340E-02,1.4340E-02,1.4340E-02,1.4339E-02,1.4331E-02,1.4247E-02,1.3442E-02,9.4975E-03,7.4665E-03,4.6010E-03,3.8839E-03,3.0099E-03,2.9932E-03,2.2498E-03,2.0440E-03,1.1638E-03,7.2235E-04,7.2215E-04,6.8455E-04,4.1024E-04,2.5374E-04,1.9538E-04,1.9538E-04,1.9372E-04,1.6961E-04,1.6960E-04,1.6755E-04,1.3068E-04,1.0011E-04,9.8263E-05,2.3489E-05,2.1238E-05,1.5849E-05,1.5848E-05,1.5585E-05,1.4994E-05,4.6045E-06,4.6045E-06,4.5882E-06,4.4900E-06,4.4899E-06,4.4892E-06,4.3570E-06,4.3570E-06
OH-,1.2275E-02,1.2275E-02,1.2275E-02,1.2275E-02,1.2275E-02,1.2274E-02,1.2267E-02,1.2193E-02,1.1481E-02,8.0911E-03,6.4021E-03,4.0723E-03,3.4969E-03,2.7514E-03,2.7341E-03,2.0303E-03,1.8572E-03,1.1893E-03,8.3933E-04,8.3915E-04,8.0563E-04,5.2616E-04,3.3508E-04,2.6370E-04,2.6370E-04,2.6234E-04,2.4442E-04,2.4442E-04,2.4159E-04,1.9100E-04,1.4905E-04,1.4651E-04,4.3233E-05,4.0093E-05,3.2563E-05,3.2565E-05,3.3020E-05,3.2020E-05,1.3444E-05,1.3445E-05,1.3574E-05,1.4526E-05,1.4527E-05,1.4532E-05,1.7326E-05,1.7326E-05
CaOH+,3.2786E-03,3.2786E-03,3.2786E-03,3.2786E-03,3.2786E-03,3.2788E-03,3.2806E-03,3.2989E-03,3.4828E-03,4.5853E-03,5.3185E-03,6.6008E-03,6.9668E-03,7.4185E-03,7.4264E-03,7.7242E-03,7.7763E-03,7.6518E-03,7.0606E-03,7.0601E-03,6.9687E-03,5.8641E-03,4.5570E-03,3.8388E-03,3.8387E-03,3.8195E-03,3.5161E-03,3.5161E-03,3.4756E-03,2.7469E-03,2.1357E-03,2.0986E-03,5.4911E-04,5.0010E-04,3.8142E-04,3.8141E-04,3.7851E-04,3.6477E-04,1.1565E-04,1.1565E-04,1.1546E-04,1.1412E-04,1.1412E-04,1.1411E-04,1.1172E-04,1.1172E-04
"Na(For),aq",3.2193E-03,3.2193E-03,3.2193E-03,3.2193E-03,3.2194E-03,3.2196E-03,3.2220E-03,3.2464E-03,3.4959E-03,5.1830E-03,6.4757E-03,9.0034E-03,9.7686E-03,1.0717E-02,1.0734E-02,1.1563E-02,1.1798E-02,1.2548E-02,1.2405E-02,1.2405E-02,1.2381E-02,1.1764E-02,1.0450E-02,9.0257E-03,9.0254E-03,8.7414E-03,3.2504E-03,3.2503E-03,3.1818E-03,1.9366E-03,1.0069E-03,9.7646E-04,5.6632E-05,4.5338E-05,2.3510E-05,2.3462E-05,1.2485E-05,1.1658E-05,1.3157E-06,1.3152E-06,1.0132E-06,4.6971E-08,4.6914E-08,4.6623E-08,3.5073E-08,3.5073E-08
