Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39
Mg+2,1.3806E+00,1.3806E+00,1.3806E+00,1.3806E+00,1.3806E+00,1.3805E+00,1.3800E+00,1.3739E+00,1.3064E+00,1.2455E+00,1.0504E+00,1.0181E+00,9.0751E-01,9.0453E-01,7.4001E-01,7.2095E-01,5.3447E-01,3.8788E-01,2.5350E-01,1.5259E-01,1.2945E-01,1.2944E-01,1.2584E-01,1.1660E-01,1.0878E-01,1.0837E-01,1.0570E-01,1.0516E-01,9.7625E-02,9.1936E-02,1.2466E-01,1.2466E-01,1.2466E-01,1.2484E-01,1.3694E-01,1.3694E-01,1.3694E-01,1.3694E-01,1.7565E-01,1.7565E-01
Ca+2,4.6508E-01,4.6508E-01,4.6508E-01,4.6508E-01,4.6509E-01,4.6512E-01,4.6543E-01,4.6818E-01,4.6987E-01,4.5928E-01,4.0141E-01,3.8977E-01,3.4428E-01,3.4287E-01,2.6737E-01,2.5902E-01,1.8317E-01,1.2892E-01,8.0978E-02,4.8004E-02,4.1428E-02,4.1428E-02,4.0487E-02,3.8109E-02,3.6152E-02,3.6055E-02,3.5439E-02,3.5319E-02,3.3898E-02,4.4008E-02,8.4592E-02,8.4593E-02,8.4595E-02,8.4777E-02,9.9025E-02,9.9025E-02,9.9027E-02,9.9021E-02,1.5313E-01,1.5313E-01
CaCl+,3.9057E-01,3.9057E-01,3.9057E-01,3.9057E-01,3.9059E-01,3.9075E-01,3.9238E-01,4.0877E-01,5.1681E-01,5.8653E-01,7.6913E-01,7.9628E-01,8.7750E-01,8.7919E-01,9.7445E-01,9.8589E-01,1.1084E+00,1.2246E+00,1.3461E+00,1.4609E+00,1.4992E+00,1.4992E+00,1.4938E+00,1.4685E+00,1.4253E+00,1.4259E+00,1.4303E+00,1.4314E+00,1.4496E+00,1.5484E+00,1.6011E+00,1.6011E+00,1.6011E+00,1.5989E+00,1.5201E+00,1.5201E+00,1.5201E+00,1.5199E+00,1.5088E+00,1.5088E+00
Mg(For)+,2.2861E-01,2.2861E-01,2.2861E-01,2.2861E-01,2.2861E-01,2.2864E-01,2.2884E-01,2.3079E-01,2.3908E-01,2.4092E-01,2.3657E-01,2.3504E-01,2.2921E-01,2.2906E-01,2.1833E-01,2.1660E-01,1.8994E-01,1.4858E-01,8.7222E-02,3.0723E-02,1.9127E-02,1.9125E-02,1.4462E-02,5.7173E-03,1.8723E-03,1.7874E-03,1.2990E-03,1.2483E-03,6.5328E-04,3.3321E-05,5.9398E-06,5.9395E-06,5.9368E-06,5.7447E-06,4.8308E-08,4.8308E-08,4.8299E-08,4.8235E-08,3.7273E-08,3.7273E-08
K+,2.2265E-01,2.2265E-01,2.2265E-01,2.2265E-01,2.2265E-01,2.2264E-01,2.2261E-01,2.2224E-01,2.1930E-01,2.1697E-01,2.0919E-01,2.0779E-01,2.0336E-01,2.0327E-01,1.9650E-01,1.9538E-01,1.7974E-01,1.6623E-01,1.5811E-01,1.5527E-01,1.5541E-01,1.5541E-01,1.5408E-01,1.4944E-01,1.4325E-01,1.4323E-01,1.4315E-01,1.4315E-01,1.4331E-01,1.4605E-01,1.4814E-01,1.4814E-01,1.4813E-01,1.4792E-01,1.4040E-01,1.4040E-01,1.4040E-01,1.4038E-01,1.4045E-01,1.4045E-01
"MgCO3,aq",9.9135E-02,9.9135E-02,9.9135E-02,9.9135E-02,9.9128E-02,9.9066E-02,9.8438E-02,9.2224E-02,5.6917E-02,3.9386E-02,1.2162E-02,9.9759E-03,5.4464E-03,5.3816E-03,2.3888E-03,2.1211E-03,4.4731E-04,8.6439E-05,1.5272E-05,2.5024E-06,1.3511E-06,1.3511E-06,1.2426E-06,9.4669E-07,6.9439E-07,6.7442E-07,5.5275E-07,5.2967E-07,2.6690E-07,1.3246E-08,2.3872E-09,2.3872E-09,2.3870E-09,2.3741E-09,1.7705E-09,1.7705E-09,1.7704E-09,1.7700E-09,1.1431E-09,1.1431E-09
"CaCO3,aq",4.1766E-02,4.1766E-02,4.1766E-02,4.1766E-02,4.1765E-02,4.1758E-02,4.1685E-02,4.0865E-02,3.2416E-02,2.5541E-02,1.0326E-02,8.7681E-03,5.1902E-03,5.1312E-03,2.3995E-03,2.1523E-03,5.3296E-04,1.1929E-04,2.2754E-05,3.8912E-06,2.1650E-06,2.1649E-06,2.0078E-06,1.5690E-06,1.1830E-06,1.1508E-06,9.5361E-07,9.1598E-07,4.8329E-07,3.7483E-08,1.1433E-08,1.1433E-08,1.1433E-08,1.1390E-08,9.6046E-09,9.6046E-09,9.6042E-09,9.6022E-09,8.4360E-09,8.4360E-09
"NaCl,aq",4.1596E-02,4.1596E-02,4.1596E-02,4.1596E-02,4.1597E-02,4.1606E-02,4.1695E-02,4.2557E-02,4.6989E-02,4.9000E-02,5.2593E-02,5.3015E-02,5.4119E-02,5.4136E-02,5.5552E-02,5.5775E-02,5.8260E-02,5.9517E-02,5.9705E-02,5.8940E-02,5.8420E-02,5.8420E-02,5.7537E-02,5.4640E-02,5.1121E-02,5.1097E-02,5.0944E-02,5.0920E-02,5.0532E-02,4.8595E-02,4.7672E-02,4.7672E-02,4.7671E-02,4.7594E-02,4.4829E-02,4.4829E-02,4.4828E-02,4.4823E-02,4.4916E-02,4.4916E-02
Na+,3.5528E-02,3.5528E-02,3.5528E-02,3.5528E-02,3.5527E-02,3.5518E-02,3.5424E-02,3.4512E-02,2.9793E-02,2.7640E-02,2.3822E-02,2.3381E-02,2.2249E-02,2.2232E-02,2.0822E-02,2.0597E-02,1.8130E-02,1.7136E-02,1.7550E-02,1.8924E-02,1.9560E-02,1.9560E-02,1.9587E-02,1.9539E-02,1.9260E-02,1.9272E-02,1.9356E-02,1.9375E-02,1.9702E-02,2.1459E-02,2.2319E-02,2.2319E-02,2.2318E-02,2.2290E-02,2.1298E-02,2.1298E-02,2.1297E-02,2.1295E-02,2.1205E-02,2.1205E-02
MgHCO3+,3.1220E-02,3.1220E-02,3.1220E-02,3.1220E-02,3.1223E-02,3.1249E-02,3.1513E-02,3.4256E-02,5.4945E-02,6.9173E-02,1.0027E-01,1.0378E-01,1.1299E-01,1.1319E-01,1.2241E-01,1.2320E-01,1.2181E-01,1.0211E-01,7.4329E-02,4.6448E-02,3.8442E-02,3.8442E-02,3.8010E-02,3.5231E-02,3.0762E-02,3.0407E-02,2.8076E-02,2.7588E-02,2.0766E-02,5.7319E-03,2.6829E-03,2.6829E-03,2.6827E-03,2.6727E-03,2.2242E-03,2.2242E-03,2.2241E-03,2.2236E-03,1.8350E-03,1.8350E-03
"Mg(For)2,aq",3.0050E-02,3.0050E-02,3.0050E-02,3.0050E-02,3.0050E-02,3.0053E-02,3.0081E-02,3.0342E-02,3.1300E-02,3.1324E-02,3.0029E-02,2.9739E-02,2.8841E-02,2.8826E-02,2.8065E-02,2.7962E-02,2.5324E-02,1.8006E-02,7.2494E-03,1.0744E-03,4.4110E-04,4.4099E-04,2.5469E-04,4.1001E-05,4.5419E-06,4.1458E-06,2.2123E-06,2.0475E-06,5.7773E-07,1.5135E-09,4.1096E-11,4.1091E-11,4.1053E-11,3.8427E-11,2.6445E-15,2.6445E-15,2.6435E-15,2.6366E-15,1.4066E-15,1.4066E-15
"FORMATE,aq",1.0395E-02,1.0395E-02,1.0395E-02,1.0395E-02,1.0396E-02,1.0404E-02,1.0481E-02,1.1268E-02,1.6588E-02,2.0026E-02,2.8937E-02,3.0304E-02,3.4209E-02,3.4269E-02,3.8810E-02,3.9544E-02,4.9368E-02,5.4583E-02,4.4956E-02,2.2411E-02,1.5738E-02,1.5736E-02,1.2169E-02,5.1184E-03,1.7756E-03,1.7007E-03,1.2640E-03,1.2205E-03,6.8940E-04,4.9944E-05,1.0943E-05,1.0943E-05,1.0938E-05,1.0591E-05,9.3024E-08,9.3024E-08,9.3007E-08,9.2884E-08,7.8381E-08,7.8381E-08
CaHCO3+,6.9785E-03,6.9785E-03,6.9785E-03,6.9785E-03,6.9792E-03,6.9854E-03,7.0484E-03,7.7018E-03,1.2629E-02,1.5986E-02,2.2852E-02,2.3516E-02,2.4885E-02,2.4902E-02,2.5234E-02,2.5174E-02,2.2690E-02,1.7709E-02,1.1967E-02,7.0555E-03,5.8221E-03,5.8221E-03,5.7695E-03,5.3887E-03,4.7523E-03,4.6990E-03,4.3502E-03,4.2771E-03,3.2641E-03,1.0943E-03,6.4834E-04,6.4833E-04,6.4830E-04,6.4611E-04,5.6077E-04,5.6077E-04,5.6075E-04,5.6061E-04,5.2567E-04,5.2567E-04
HCO3-,4.3909E-03,4.3909E-03,4.3909E-03,4.3909E-03,4.3913E-03,4.3949E-03,4.4311E-03,4.8021E-03,7.3192E-03,8.7342E-03,1.0488E-02,1.0507E-02,1.0235E-02,1.0222E-02,9.3229E-03,9.1838E-03,7.1681E-03,4.8248E-03,2.7889E-03,1.4055E-03,1.0961E-03,1.0961E-03,1.0753E-03,9.7746E-04,8.4146E-04,8.3069E-04,7.6064E-04,7.4613E-04,5.4784E-04,1.4943E-04,7.7894E-05,7.7894E-05,7.7890E-05,7.7641E-05,6.7181E-05,6.7181E-05,6.7179E-05,6.7164E-05,6.1160E-05,6.1160E-05
"KCl,aq",2.6479E-03,2.6479E-03,2.6479E-03,2.6480E-03,2.6483E-03,2.6516E-03,2.6844E-03,3.0291E-03,5.8760E-03,8.2104E-03,1.6090E-02,1.7509E-02,2.2006E-02,2.2094E-02,2.8969E-02,3.0102E-02,4.5909E-02,5.9719E-02,6.8246E-02,7.1330E-02,7.1185E-02,7.1184E-02,6.9885E-02,6.5713E-02,6.0780E-02,6.0759E-02,6.0620E-02,6.0603E-02,6.0247E-02,5.6954E-02,5.4683E-02,5.4683E-02,5.4682E-02,5.4589E-02,5.1223E-02,5.1223E-02,5.1223E-02,5.1216E-02,5.1162E-02,5.1162E-02
CO3-2,8.9346E-04,8.9346E-04,8.9346E-04,8.9345E-04,8.9335E-04,8.9235E-04,8.8247E-04,7.8920E-04,3.8376E-04,2.3897E-04,6.2725E-05,5.0734E-05,2.5485E-05,2.5062E-05,9.2702E-06,8.1751E-06,2.0161E-06,4.9884E-07,9.6240E-08,1.6127E-08,9.2072E-09,9.2069E-09,8.5938E-09,6.8652E-09,5.3029E-09,5.1712E-09,4.3645E-09,4.2100E-09,2.4144E-09,4.5885E-10,4.5583E-10,4.5583E-10,4.5584E-10,4.5669E-10,5.3467E-10,5.3467E-10,5.3467E-10,5.3457E-10,1.0055E-09,1.0055E-09
"Na(For),aq",5.1096E-04,5.1096E-04,5.1096E-04,5.1097E-04,5.1100E-04,5.1131E-04,5.1443E-04,5.4585E-04,7.4267E-04,8.5669E-04,1.1018E-03,1.1320E-03,1.2007E-03,1.2013E-03,1.2580E-03,1.2680E-03,1.3683E-03,1.2615E-03,8.2803E-04,3.1985E-04,2.0633E-04,2.0630E-04,1.5642E-04,6.2157E-05,2.0375E-05,1.9475E-05,1.4271E-05,1.3740E-05,7.4194E-06,4.6676E-07,1.0132E-07,1.0131E-07,1.0127E-07,9.7996E-08,8.4746E-10,8.4746E-10,8.4730E-10,8.4614E-10,7.3660E-10,7.3660E-10
MgOH+,1.6202E-04,1.6202E-04,1.6202E-04,1.6202E-04,1.6202E-04,1.6206E-04,1.6250E-04,1.6697E-04,1.9978E-04,2.2411E-04,3.0135E-04,3.1478E-04,3.5520E-04,3.5590E-04,4.0715E-04,4.1534E-04,5.4022E-04,6.9626E-04,8.6692E-04,1.0476E-03,1.1190E-03,1.1190E-03,1.1357E-03,1.1815E-03,1.2217E-03,1.2162E-03,1.1803E-03,1.1729E-03,1.0658E-03,8.1154E-04,8.0857E-04,8.0857E-04,8.0859E-04,8.0996E-04,8.8019E-04,8.8019E-04,8.8020E-04,8.8021E-04,1.0336E-03,1.0336E-03
FeCl+,1.4891E-04,1.4891E-04,1.4891E-04,1.4892E-04,1.4893E-04,1.4906E-04,1.5040E-04,1.6429E-04,2.7666E-04,3.7320E-04,7.6621E-04,8.4866E-04,1.1484E-03,1.1558E-03,1.7039E-03,1.7918E-03,3.1197E-03,4.9425E-03,7.1176E-03,8.4344E-03,8.3992E-03,8.3989E-03,7.6908E-03,5.7634E-03,4.0761E-03,4.0880E-03,4.1619E-03,4.1719E-03,4.2935E-03,3.9562E-03,3.3884E-03,3.3884E-03,3.3880E-03,3.3580E-03,2.4577E-03,2.4577E-03,2.4576E-03,2.4563E-03,2.2579E-03,2.2579E-03
Fe+2,1.1725E-04,1.1725E-04,1.1725E-04,1.1725E-04,1.1726E-04,1.1735E-04,1.1830E-04,1.2792E-04,1.9579E-04,2.4358E-04,3.8476E-04,4.0754E-04,4.6751E-04,4.6816E-04,5.1964E-04,5.2827E-04,6.4959E-04,7.2537E-04,6.5304E-04,4.5936E-04,3.9540E-04,3.9538E-04,3.5679E-04,2.5936E-04,1.8143E-04,1.8153E-04,1.8205E-04,1.8193E-04,1.8069E-04,2.2102E-04,3.7387E-04,3.7387E-04,3.7384E-04,3.7193E-04,3.3909E-04,3.3909E-04,3.3908E-04,3.3892E-04,4.9902E-04,4.9902E-04
"NaHCO3,aq",1.1263E-04,1.1263E-04,1.1263E-04,1.1263E-04,1.1264E-04,1.1273E-04,1.1366E-04,1.2307E-04,1.8248E-04,2.1095E-04,2.2554E-04,2.2122E-04,2.0319E-04,2.0282E-04,1.7435E-04,1.6982E-04,1.1008E-04,6.0133E-05,2.8813E-05,1.2282E-05,9.0362E-06,9.0361E-06,8.7248E-06,7.5590E-06,6.1830E-06,6.0927E-06,5.5086E-06,5.3890E-06,3.7805E-06,7.6576E-07,2.9490E-07,2.9490E-07,2.9488E-07,2.9331E-07,2.2844E-07,2.2844E-07,2.2843E-07,2.2837E-07,1.7438E-07,1.7438E-07
"H2,aq",5.6385E-05,5.6385E-05,5.6385E-05,5.6385E-05,5.6392E-05,5.6461E-05,5.7149E-05,6.4496E-05,1.3707E-04,2.1970E-04,7.7665E-04,9.4216E-04,1.6676E-03,1.6864E-03,3.5209E-03,3.9064E-03,1.3944E-02,4.4051E-02,1.0831E-01,1.7164E-01,1.7966E-01,1.7964E-01,1.4711E-01,7.6140E-02,3.4511E-02,3.3632E-02,2.8135E-02,2.7866E-02,2.3717E-02,1.0372E-02,6.0648E-03,6.0646E-03,6.0623E-03,5.9048E-03,6.8020E-05,6.8020E-05,6.8011E-05,6.7946E-05,7.1744E-05,7.1744E-05
Fe(For)+,3.0901E-05,3.0901E-05,3.0901E-05,3.0901E-05,3.0904E-05,3.0933E-05,3.1225E-05,3.4240E-05,5.7283E-05,7.5276E-05,1.3703E-04,1.4836E-04,1.8588E-04,1.8672E-04,2.4375E-04,2.5199E-04,3.4865E-04,3.9666E-04,3.1007E-04,1.2288E-04,7.5680E-05,7.5668E-05,5.2867E-05,1.6171E-05,3.9157E-06,3.7496E-06,2.7769E-06,2.6752E-06,1.4439E-06,7.0416E-08,1.1081E-08,1.1080E-08,1.1074E-08,1.0630E-08,6.8125E-11,6.8125E-11,6.8108E-11,6.7989E-11,4.9038E-11,4.9038E-11
"Fe(For)2,aq",8.0991E-06,8.0991E-06,8.0991E-06,8.0991E-06,8.1000E-06,8.1087E-06,8.1961E-06,9.1034E-06,1.6140E-05,2.1623E-05,4.0041E-05,4.3401E-05,5.4363E-05,5.4596E-05,7.2014E-05,7.4750E-05,1.0764E-04,1.1030E-04,5.6325E-05,8.7319E-06,3.4703E-06,3.4693E-06,1.8453E-06,2.2806E-07,1.8577E-08,1.7004E-08,9.2292E-09,8.5595E-09,2.4835E-09,6.7164E-12,1.8906E-13,1.8903E-13,1.8884E-13,1.7549E-13,9.6735E-18,9.6735E-18,9.6693E-18,9.6400E-18,5.3866E-18,5.3866E-18
FeOH+,3.3948E-06,3.3948E-06,3.3948E-06,3.3948E-06,3.3950E-06,3.3966E-06,3.4131E-06,3.5800E-06,4.7369E-06,5.5743E-06,8.3368E-06,8.8336E-06,1.0438E-05,1.0472E-05,1.2698E-05,1.3013E-05,1.7098E-05,2.1550E-05,2.5066E-05,2.4738E-05,2.3617E-05,2.3616E-05,2.1764E-05,1.6714E-05,1.2249E-05,1.2199E-05,1.1844E-05,1.1752E-05,1.0344E-05,5.6719E-06,4.1951E-06,4.1951E-06,4.1947E-06,4.1655E-06,3.3237E-06,3.3237E-06,3.3235E-06,3.3222E-06,3.3845E-06,3.3845E-06
OH-,2.3119E-06,2.3119E-06,2.3119E-06,2.3119E-06,2.3119E-06,2.3118E-06,2.3105E-06,2.2978E-06,2.2160E-06,2.1671E-06,2.0561E-06,2.0417E-06,1.9635E-06,1.9595E-06,1.7821E-06,1.7682E-06,1.7342E-06,1.7708E-06,1.7369E-06,1.6883E-06,1.7060E-06,1.7060E-06,1.7186E-06,1.7560E-06,1.7924E-06,1.7827E-06,1.7196E-06,1.7067E-06,1.5278E-06,1.2698E-06,1.5999E-06,1.5999E-06,1.6000E-06,1.6043E-06,1.8698E-06,1.8698E-06,1.8698E-06,1.8699E-06,2.6284E-06,2.6284E-06
"CO2,aq",1.9801E-06,1.9801E-06,1.9801E-06,1.9802E-06,1.9809E-06,1.9883E-06,2.0637E-06,2.9821E-06,2.4889E-05,7.7295E-05,8.3327E-04,1.1313E-03,2.6479E-03,2.6906E-03,7.4002E-03,8.4814E-03,3.8333E-02,1.1091E-01,2.2194E-01,3.2270E-01,3.4525E-01,3.4526E-01,3.5866E-01,3.8337E-01,3.8717E-01,3.8793E-01,3.9277E-01,3.9346E-01,4.0308E-01,4.2364E-01,4.2728E-01,4.2728E-01,4.2727E-01,4.2677E-01,4.0889E-01,4.0889E-01,4.0888E-01,4.0883E-01,4.0926E-01,4.0926E-01
CaOH+,1.7933E-06,1.7933E-06,1.7933E-06,1.7933E-06,1.7935E-06,1.7956E-06,1.8167E-06,2.0380E-06,3.8878E-06,5.4540E-06,1.1013E-05,1.2031E-05,1.5186E-05,1.5244E-05,1.9152E-05,1.9730E-05,2.7569E-05,3.5971E-05,4.3941E-05,5.1546E-05,5.4709E-05,5.4710E-05,5.5557E-05,5.7872E-05,5.9933E-05,5.9647E-05,5.7773E-05,5.7384E-05,5.1775E-05,3.8347E-05,3.6362E-05,3.6362E-05,3.6363E-05,3.6388E-05,3.8050E-05,3.8050E-05,3.8050E-05,3.8050E-05,4.2406E-05,4.2406E-05
"KOH,aq",1.3017E-07,1.3017E-07,1.3017E-07,1.3017E-07,1.3018E-07,1.3025E-07,1.3098E-07,1.3820E-07,1.8060E-07,2.0200E-07,2.3501E-07,2.3735E-07,2.3825E-07,2.3806E-07,2.2988E-07,2.2912E-07,2.1612E-07,1.8615E-07,1.4508E-07,1.0798E-07,9.8239E-08,9.8238E-08,9.6238E-08,9.0586E-08,8.5011E-08,8.4271E-08,7.9447E-08,7.8471E-08,6.4659E-08,3.1550E-08,2.3977E-08,2.3977E-08,2.3977E-08,2.3974E-08,2.4071E-08,2.4071E-08,2.4071E-08,2.4070E-08,2.5689E-08,2.5689E-08
"FORMIC ACID,aq",7.8502E-08,7.8502E-08,7.8501E-08,7.8504E-08,7.8533E-08,7.8818E-08,8.1725E-08,1.1680E-07,8.8744E-07,2.6206E-06,2.7539E-05,3.7721E-05,9.0937E-05,9.2404E-05,2.6491E-04,3.0708E-04,1.7251E-03,6.4898E-03,1.4567E-02,1.6891E-02,1.5390E-02,1.5388E-02,1.2427E-02,5.8984E-03,2.2939E-03,2.2275E-03,1.8175E-03,1.7898E-03,1.3871E-03,4.1856E-04,2.2799E-04,2.2797E-04,2.2788E-04,2.2119E-04,2.2473E-06,2.2473E-06,2.2469E-06,2.2440E-06,2.5490E-06,2.5490E-06
"NaOH,aq",4.9868E-08,4.9868E-08,4.9868E-08,4.9868E-08,4.9868E-08,4.9865E-08,4.9832E-08,4.9476E-08,4.6168E-08,4.3585E-08,3.6458E-08,3.5389E-08,3.2013E-08,3.1932E-08,2.7376E-08,2.6832E-08,2.1351E-08,1.7218E-08,1.3688E-08,1.0956E-08,1.0301E-08,1.0301E-08,1.0192E-08,9.8656E-09,9.5172E-09,9.4429E-09,8.9581E-09,8.8595E-09,7.4597E-09,4.0920E-09,3.3579E-09,3.3579E-09,3.3579E-09,3.3585E-09,3.4228E-09,3.4228E-09,3.4228E-09,3.4227E-09,3.7428E-09,3.7428E-09
"FeO,aq",6.6060E-09,6.6060E-09,6.6060E-09,6.6061E-09,6.6068E-09,6.6136E-09,6.6819E-09,7.3940E-09,1.3172E-08,1.8076E-08,3.7409E-08,4.1397E-08,5.5166E-08,5.5460E-08,7.8671E-08,8.2631E-08,1.4812E-07,2.4157E-07,3.4654E-07,4.1473E-07,4.2174E-07,4.2173E-07,3.9292E-07,3.1094E-07,2.3433E-07,2.3228E-07,2.1855E-07,2.1543E-07,1.7059E-07,5.9008E-08,3.2502E-08,3.2502E-08,3.2499E-08,3.2292E-08,2.6217E-08,2.6217E-08,2.6215E-08,2.6206E-08,2.6358E-08,2.6358E-08
HFeO2-,3.6624E-09,3.6624E-09,3.6624E-09,3.6624E-09,3.6621E-09,3.6590E-09,3.6290E-09,3.3502E-09,2.2396E-09,1.8933E-09,1.5276E-09,1.5082E-09,1.3361E-09,1.3250E-09,9.8947E-10,9.8525E-10,1.4857E-09,2.5427E-09,2.8744E-09,2.5868E-09,2.7517E-09,2.7517E-09,2.6315E-09,2.2924E-09,1.9518E-09,1.9387E-09,1.8598E-09,1.8426E-09,1.6839E-09,8.3745E-09,2.5257E-07,2.5257E-07,2.5262E-07,2.5632E-07,7.1312E-07,7.1312E-07,7.1319E-07,7.1306E-07,1.1197E-05,1.1197E-05
"HCl,aq",2.9548E-09,2.9548E-09,2.9548E-09,2.9548E-09,2.9556E-09,2.9627E-09,3.0345E-09,3.8464E-09,1.5189E-08,3.2335E-08,1.7829E-07,2.2569E-07,4.4097E-07,4.4647E-07,1.0217E-06,1.1499E-06,4.8139E-06,1.6676E-05,4.9375E-05,1.3369E-04,1.8607E-04,1.8607E-04,1.9534E-04,2.2273E-04,2.4944E-04,2.5349E-04,2.8294E-04,2.8964E-04,4.2362E-04,2.6643E-03,9.8048E-03,9.8048E-03,9.8053E-03,9.8380E-03,1.2187E-02,1.2187E-02,1.2188E-02,1.2187E-02,2.0490E-02,2.0490E-02
