Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39
Xi,0.0,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0660034,0.1,0.186813,0.2,0.239315,0.240077,0.292299,0.3,0.4,0.5,0.6,0.7,0.73358,0.733583,0.73938,0.75528,0.769709,0.770636,0.776974,0.778312,0.8,0.9,0.961305,0.961306,0.961309,0.96154,0.971849,0.974586,0.974587,0.974589,0.976384,1.0
Aw,0.67659,0.67659,0.67659,0.67659,0.67659,0.67657,0.67638,0.67463,0.66809,0.66736,0.67337,0.67495,0.68184,0.68208,0.69386,0.69505,0.70653,0.72127,0.74375,0.77217,0.78258,0.78258,0.787,0.8,0.81372,0.81402,0.816,0.81638,0.82236,0.84505,0.85164,0.85164,0.85164,0.85184,0.85917,0.85917,0.85918,0.85919,0.85769,0.85769
Temp,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,35.74,49.0,82.86,88.0,103.33,103.63,124.0,127.0,166.0,205.0,244.0,283.0,296.1,296.1,298.36,304.56,310.19,310.55,313.02,313.54,322.0,361.0,384.91,384.91,384.91,385.0,390.09,390.09,390.09,390.09,400.0,400.0
I,9.4406,9.4406,9.4406,9.4406,9.4406,9.4408,9.4424,9.4559,9.4415,9.3619,8.9848,8.9122,8.6336,8.6251,8.1575,8.1042,7.5962,7.21,6.8485,6.5418,6.4539,6.4539,6.383,6.1549,5.8757,5.8728,5.8542,5.8512,5.8062,5.7116,5.8799,5.8799,5.8799,5.8755,5.7334,5.7334,5.7333,5.7329,5.9644,5.9644
pH,8.6411,8.6411,8.6411,8.6411,8.641,8.6397,8.6265,8.4972,7.7747,7.3988,6.6147,6.5139,6.2333,6.228,5.8972,5.8537,5.3904,5.08,4.8891,4.809,4.8088,4.8088,4.8108,4.8178,4.8252,4.8229,4.8079,4.8048,4.7595,4.6746,4.7241,4.7241,4.7241,4.725,4.7733,4.7733,4.7733,4.7733,4.872,4.872
TDS%,43.641000000000005,43.641000000000005,43.641000000000005,43.641000000000005,43.641000000000005,43.641000000000005,43.64,43.633,43.6,43.589,43.584,43.585,43.59,43.59,43.599,43.6,43.601,43.592,43.575,43.586000000000006,43.61,43.61,43.32,42.324,41.014,41.010999999999996,40.993,40.992,40.998000000000005,41.126000000000005,41.171,41.17,41.17,41.13,39.715,39.715,39.715,39.711999999999996,39.702,39.702
Solv_Mass,848.36861,848.36861,848.36861,848.36862,848.36873,848.36978,848.38019,848.4775,848.80617,848.80003,848.42582,848.35363,848.10754,848.10091,847.7347,847.69012,847.05573,845.9057,844.40807,843.50767,843.51877,843.52322,853.40654,888.35117,936.82005,936.98105,937.98483,938.04923,938.98423,941.52425,942.38576,942.38823,942.40829,943.83356,997.46323,997.46326,997.47848,997.59298,997.53672,997.53672
Cl-,7.5774E+00,7.5774E+00,7.5774E+00,7.5774E+00,7.5774E+00,7.5775E+00,7.5793E+00,7.5953E+00,7.6400E+00,7.6273E+00,7.4930E+00,7.4630E+00,7.3368E+00,7.3326E+00,7.1014E+00,7.0749E+00,6.8213E+00,6.6331E+00,6.4657E+00,6.3170E+00,6.2658E+00,6.2658E+00,6.2030E+00,5.9938E+00,5.7279E+00,5.7257E+00,5.7108E+00,5.7086E+00,5.6732E+00,5.5752E+00,5.6702E+00,5.6702E+00,5.6701E+00,5.6654E+00,5.4970E+00,5.4970E+00,5.4970E+00,5.4965E+00,5.6350E+00,5.6350E+00
MgCl+,2.9864E+00,2.9864E+00,2.9864E+00,2.9864E+00,2.9864E+00,2.9865E+00,2.9867E+00,2.9900E+00,3.0387E+00,3.0885E+00,3.2652E+00,3.2962E+00,3.4049E+00,3.4079E+00,3.5737E+00,3.5933E+00,3.7966E+00,3.9750E+00,4.1395E+00,4.2097E+00,4.1929E+00,4.1929E+00,4.1482E+00,3.9991E+00,3.8097E+00,3.8083E+00,3.7982E+00,3.7967E+00,3.7683E+00,3.5754E+00,3.4718E+00,3.4718E+00,3.4717E+00,3.4688E+00,3.3364E+00,3.3364E+00,3.3364E+00,3.3361E+00,3.3004E+00,3.3004E+00
"CaCl2,aq",1.7781E+00,1.7781E+00,1.7781E+00,1.7781E+00,1.7780E+00,1.7778E+00,1.7759E+00,1.7566E+00,1.6494E+00,1.5938E+00,1.4786E+00,1.4642E+00,1.4314E+00,1.4312E+00,1.4150E+00,1.4124E+00,1.3718E+00,1.3189E+00,1.2560E+00,1.1819E+00,1.1514E+00,1.1514E+00,1.1265E+00,1.0497E+00,9.6292E-01,9.6203E-01,9.5603E-01,9.5497E-01,9.3677E-01,8.2347E-01,7.2843E-01,7.2843E-01,7.2841E-01,7.2680E-01,6.6179E-01,6.6179E-01,6.6178E-01,6.6169E-01,6.1885E-01,6.1885E-01
