Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43
"HFeO2,aq",4.6804E-15,4.6804E-15,4.6804E-15,4.6806E-15,4.6826E-15,4.7031E-15,4.9127E-15,7.5384E-15,7.1001E-14,2.7026E-13,2.5307E-12,4.2945E-12,9.3361E-12,9.4829E-12,1.9460E-11,2.8407E-11,1.0520E-10,2.0592E-10,2.0596E-10,2.3644E-10,3.3604E-10,3.9052E-10,3.9961E-10,3.9990E-10,5.1174E-10,5.1368E-10,5.5548E-10,5.5165E-10,5.4951E-10,3.1071E-10,2.8360E-10,1.9789E-10,1.9789E-10,1.9790E-10,2.0483E-10,1.1415E-09,1.1423E-09,1.1423E-09,1.1424E-09,1.1424E-09,1.1426E-09,1.1431E-09,1.0945E-09,1.0945E-09
FeO2-,1.3704E-15,1.3704E-15,1.3704E-15,1.3705E-15,1.3710E-15,1.3757E-15,1.4240E-15,2.0014E-15,1.2424E-14,3.8507E-14,2.8363E-13,4.6616E-13,9.7701E-13,9.9078E-13,1.9509E-12,2.8640E-12,1.2829E-11,3.1619E-11,3.1627E-11,3.9863E-11,8.1080E-11,1.3553E-10,1.6951E-10,1.6971E-10,2.4601E-10,2.4619E-10,2.5190E-10,2.4946E-10,2.4811E-10,1.2805E-10,1.1874E-10,9.7919E-11,9.7920E-11,9.7929E-11,1.0372E-10,6.8850E-10,6.8902E-10,6.8902E-10,6.8906E-10,6.8911E-10,6.8934E-10,6.8979E-10,8.4807E-10,8.4807E-10
FeO+,3.8750E-17,3.8750E-17,3.8750E-17,3.8751E-17,3.8768E-17,3.8930E-17,4.0587E-17,6.1167E-17,5.3767E-16,2.0151E-15,1.9548E-14,3.3931E-14,7.7165E-14,7.8464E-14,1.7014E-13,2.5712E-13,1.1353E-12,2.5751E-12,2.5757E-12,3.1170E-12,5.3184E-12,7.1865E-12,7.8987E-12,7.9048E-12,1.0174E-11,1.0297E-11,1.3135E-11,1.3167E-11,1.3185E-11,1.6142E-11,1.6763E-11,2.0300E-11,2.0300E-11,2.0301E-11,2.1155E-11,1.2637E-10,1.2646E-10,1.2646E-10,1.2647E-10,1.2647E-10,1.2650E-10,1.2655E-10,1.4131E-10,1.4131E-10
FeOH+2,6.3606E-22,6.3606E-22,6.3606E-22,6.3609E-22,6.3642E-22,6.3970E-22,6.7335E-22,1.1167E-21,1.6993E-20,9.2640E-20,1.8803E-18,3.9845E-18,1.2188E-17,1.2449E-17,3.4776E-17,6.2335E-17,6.1237E-16,2.3806E-15,2.3816E-15,3.4160E-15,9.6964E-15,1.9609E-14,2.7510E-14,2.7544E-14,4.0256E-14,4.1263E-14,6.8709E-14,6.9952E-14,7.0664E-14,3.9160E-13,5.4907E-13,2.7873E-12,2.7874E-12,2.7878E-12,3.0509E-12,2.7387E-11,2.7411E-11,2.7411E-11,2.7414E-11,2.7416E-11,2.7430E-11,2.7456E-11,6.0041E-11,6.0041E-11
FeCl+2,1.5597E-26,1.5597E-26,1.5597E-26,1.5598E-26,1.5607E-26,1.5700E-26,1.6658E-26,2.9902E-26,7.1124E-25,5.2323E-24,1.9097E-22,4.7477E-22,1.8760E-21,1.9273E-21,7.0863E-21,1.4797E-20,2.6585E-19,1.5365E-18,1.5374E-18,2.5217E-18,1.1425E-17,3.5451E-17,6.1297E-17,6.1383E-17,9.2926E-17,9.6254E-17,1.9810E-16,2.0412E-16,2.0759E-16,3.0074E-15,4.9074E-15,4.5966E-14,4.5967E-14,4.5974E-14,5.0659E-14,4.8690E-13,4.8736E-13,4.8736E-13,4.8740E-13,4.8744E-13,4.8768E-13,4.8816E-13,1.2507E-12,1.2507E-12
Fe+3,2.0489E-28,2.0489E-28,2.0489E-28,2.0490E-28,2.0502E-28,2.0623E-28,2.1863E-28,3.8881E-28,8.5104E-27,5.7493E-26,1.6618E-24,3.8228E-24,1.2993E-23,1.3279E-23,3.9013E-23,7.3104E-23,8.9554E-22,3.8378E-21,3.8394E-21,5.5442E-21,1.3941E-20,2.1216E-20,2.5876E-20,2.5900E-20,3.5479E-20,3.6574E-20,6.8621E-20,7.0356E-20,7.1355E-20,8.4268E-19,1.3970E-18,1.6767E-17,1.6767E-17,1.6770E-17,1.8933E-17,2.2202E-16,2.2225E-16,2.2225E-16,2.2228E-16,2.2231E-16,2.2247E-16,2.2278E-16,7.3199E-16,7.3199E-16
"H2O2,aq",4.7922E-66,4.7922E-66,4.7922E-66,4.7931E-66,4.8024E-66,4.8950E-66,5.9244E-66,3.9069E-65,1.1299E-60,7.6982E-58,1.1482E-52,2.4426E-51,2.6982E-49,2.9781E-49,3.2235E-47,4.3030E-46,9.6058E-42,5.0988E-39,5.1098E-39,3.8503E-38,3.7633E-35,1.5550E-32,2.6221E-31,2.6485E-31,5.1155E-30,5.4879E-30,2.3413E-29,2.4899E-29,2.5776E-29,3.7405E-27,8.2267E-27,1.8782E-25,1.8783E-25,1.8792E-25,2.4935E-25,3.2383E-23,3.2445E-23,3.2445E-23,3.2456E-23,3.2468E-23,3.2530E-23,3.2653E-23,9.2298E-23,9.2298E-23
HO2-,1.9451E-68,1.9451E-68,1.9451E-68,1.9455E-68,1.9490E-68,1.9840E-68,2.3704E-68,1.3756E-67,1.9689E-63,8.5138E-61,5.4244E-56,9.2298E-55,7.1266E-53,7.7976E-53,5.6800E-51,6.1684E-50,6.5271E-46,2.1764E-43,2.1808E-43,1.4001E-42,7.6182E-40,1.7729E-37,2.2658E-36,2.2875E-36,3.8270E-35,4.0587E-35,1.3764E-34,1.4454E-34,1.4857E-34,8.4864E-33,1.6454E-32,2.4599E-31,2.4600E-31,2.4612E-31,3.2577E-31,4.1491E-29,4.1570E-29,4.1570E-29,4.1584E-29,4.1598E-29,4.1678E-29,4.1835E-29,1.1760E-28,1.1760E-28
"O2,aq",1.2597E-96,1.2597E-96,1.2597E-96,1.2600E-96,1.2636E-96,1.2994E-96,1.7173E-96,2.7102E-95,9.9175E-89,1.5868E-84,8.9601E-77,9.0557E-75,1.1300E-71,1.3132E-71,1.6626E-68,8.7704E-67,4.4076E-60,7.6680E-56,7.6937E-56,1.7562E-54,8.4194E-50,1.2501E-45,1.2216E-43,1.2436E-43,2.6859E-41,3.0398E-41,3.9475E-40,4.3819E-40,4.6470E-40,2.3478E-36,9.2010E-36,2.1710E-33,2.1713E-33,2.1731E-33,3.7171E-33,5.0623E-29,5.0813E-29,5.0813E-29,5.0845E-29,5.0881E-29,5.1070E-29,5.1443E-29,3.0865E-28,3.0865E-28
gCl-,-0.2557,-0.2557,-0.2557,-0.2557,-0.2557,-0.2557,-0.2558,-0.2572,-0.2656,-0.2724,-0.2885,-0.2937,-0.3001,-0.3000,-0.2999,-0.3047,-0.3467,-0.3832,-0.3832,-0.3956,-0.4372,-0.4863,-0.5264,-0.5265,-0.5518,-0.5528,-0.5762,-0.5777,-0.5785,-0.7512,-0.7916,-1.0023,-1.0023,-1.0023,-1.0121,-1.0915,-1.0915,-1.0915,-1.0915,-1.0915,-1.0916,-1.0917,-1.2190,-1.2190
