Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41
Xi,0.0,2.32623e-14,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0649478,0.1,0.188761,0.2,0.236129,0.236926,0.288216,0.3,0.4,0.5,0.6,0.7,0.71992,0.738927,0.738931,0.743433,0.773925,0.774835,0.78217,0.783592,0.8,0.9,0.963196,0.963198,0.963267,0.970739,0.977177,0.977181,0.977182,0.977184,0.977186,0.978931,1.0
Aw,0.7038,0.7038,0.7038,0.7038,0.7038,0.70379,0.70378,0.7036,0.70196,0.696,0.69539,0.70175,0.70309,0.70886,0.70911,0.72091,0.72274,0.73422,0.74852,0.76943,0.79468,0.8,0.80515,0.80515,0.80833,0.83284,0.83309,0.83511,0.83545,0.83936,0.85931,0.86589,0.86589,0.86595,0.87198,0.87315,0.87316,0.87316,0.87316,0.87317,0.87252,0.87252
Temp,10.0,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,35.33,49.0,83.62,88.0,102.09,102.4,122.4,127.0,166.0,205.0,244.0,283.0,290.77,298.18,298.18,299.94,311.83,312.19,315.05,315.6,322.0,361.0,385.65,385.65,385.67,388.59,391.1,391.1,391.1,391.1,391.1,400.0,400.0
I,8.846,8.846,8.846,8.846,8.846,8.846,8.8462,8.8478,8.8619,8.8535,8.7751,8.3953,8.3342,8.0952,8.0861,7.6182,7.5362,7.0301,6.6308,6.24,5.9036,5.8467,5.7944,5.7943,5.7421,5.2686,5.2658,5.244,5.2408,5.2051,5.0907,5.249,5.249,5.248,5.1203,5.1288,5.1288,5.1288,5.1287,5.1283,5.33,5.33
pH,8.6679,8.6679,8.6679,8.6679,8.6679,8.6678,8.6665,8.6533,8.5243,7.8152,7.4271,6.6274,6.5417,6.2829,6.2773,5.9469,5.8796,5.416,5.1041,4.9082,4.819,4.815,4.8159,4.8159,4.8173,4.8307,4.8283,4.8104,4.8071,4.7711,4.6763,4.7305,4.7305,4.7308,4.761,4.7855,4.7855,4.7855,4.7855,4.7855,4.8783,4.8783
TDS%,40.864,40.864,40.864,40.864,40.864,40.864,40.864,40.863,40.855999999999995,40.82,40.806,40.797,40.798,40.801,40.801,40.81,40.811,40.814,40.804,40.778999999999996,40.772000000000006,40.783,40.794000000000004,40.794000000000004,40.57,38.289,38.286,38.265,38.265,38.269,38.397999999999996,38.445,38.445,38.434000000000005,37.21,36.992999999999995,36.992999999999995,36.992000000000004,36.992000000000004,36.989,36.978,36.978
Solv_Mass,846.0453,846.0453,846.0453,846.0453,846.04531,846.04543,846.04663,846.05852,846.17157,846.62586,846.72012,846.54674,846.50443,846.34036,846.33442,846.02764,845.97081,845.44439,844.47975,843.31098,842.85818,842.84293,843.01384,843.01905,850.78282,934.79511,934.95816,936.14459,936.21006,936.90586,939.51418,940.42481,940.43023,940.82871,987.74281,996.49522,996.51679,996.52448,996.547,996.66162,996.61348,996.61348
Cl-,7.0427E+00,7.0427E+00,7.0427E+00,7.0427E+00,7.0427E+00,7.0427E+00,7.0429E+00,7.0446E+00,7.0598E+00,7.0988E+00,7.0824E+00,6.9347E+00,6.9080E+00,6.7969E+00,6.7924E+00,6.5563E+00,6.5147E+00,6.2564E+00,6.0555E+00,5.8639E+00,5.6880E+00,5.6539E+00,5.6204E+00,5.6203E+00,5.5739E+00,5.1308E+00,5.1286E+00,5.1109E+00,5.1084E+00,5.0799E+00,4.9654E+00,5.0535E+00,5.0535E+00,5.0524E+00,4.9126E+00,4.9059E+00,4.9058E+00,4.9058E+00,4.9057E+00,4.9053E+00,5.0275E+00,5.0275E+00
MgCl+,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4532E+00,2.4555E+00,2.4953E+00,2.5405E+00,2.7042E+00,2.7283E+00,2.8161E+00,2.8190E+00,2.9728E+00,3.0009E+00,3.1884E+00,3.3539E+00,3.5092E+00,3.5837E+00,3.5805E+00,3.5701E+00,3.5701E+00,3.5401E+00,3.2483E+00,3.2470E+00,3.2368E+00,3.2354E+00,3.2167E+00,3.0423E+00,2.9447E+00,2.9447E+00,2.9441E+00,2.8566E+00,2.8321E+00,2.8321E+00,2.8320E+00,2.8320E+00,2.8318E+00,2.8038E+00,2.8038E+00
"CaCl2,aq",1.4699E+00,1.4699E+00,1.4699E+00,1.4699E+00,1.4699E+00,1.4699E+00,1.4697E+00,1.4678E+00,1.4490E+00,1.3483E+00,1.2947E+00,1.1890E+00,1.1783E+00,1.1513E+00,1.1512E+00,1.1407E+00,1.1375E+00,1.1022E+00,1.0599E+00,1.0187E+00,9.7995E-01,9.7097E-01,9.6118E-01,9.6117E-01,9.4611E-01,8.1511E-01,8.1458E-01,8.1035E-01,8.0972E-01,8.0178E-01,7.2178E-01,6.3671E-01,6.3670E-01,6.3629E-01,5.9107E-01,5.7509E-01,5.7507E-01,5.7506E-01,5.7505E-01,5.7497E-01,5.3716E-01,5.3716E-01
Mg+2,1.2762E+00,1.2762E+00,1.2762E+00,1.2762E+00,1.2762E+00,1.2762E+00,1.2761E+00,1.2757E+00,1.2707E+00,1.2146E+00,1.1602E+00,9.8300E-01,9.5831E-01,8.6977E-01,8.6685E-01,7.1446E-01,6.8725E-01,5.1437E-01,3.7507E-01,2.4444E-01,1.4505E-01,1.3081E-01,1.1902E-01,1.1902E-01,1.1633E-01,9.9849E-02,9.9470E-02,9.6556E-02,9.6026E-02,9.0536E-02,8.3271E-02,1.1376E-01,1.1376E-01,1.1382E-01,1.1965E-01,1.2622E-01,1.2622E-01,1.2622E-01,1.2623E-01,1.2622E-01,1.5864E-01,1.5864E-01
Ca+2,5.0988E-01,5.0988E-01,5.0988E-01,5.0988E-01,5.0988E-01,5.0989E-01,5.0992E-01,5.1028E-01,5.1335E-01,5.1553E-01,5.0362E-01,4.3833E-01,4.2748E-01,3.8463E-01,3.8298E-01,3.0010E-01,2.8605E-01,2.0348E-01,1.4265E-01,8.7878E-02,5.0043E-02,4.5228E-02,4.1462E-02,4.1462E-02,4.0637E-02,3.5708E-02,3.5604E-02,3.4833E-02,3.4698E-02,3.3448E-02,4.1652E-02,8.1318E-02,8.1318E-02,8.1374E-02,8.7678E-02,9.6387E-02,9.6392E-02,9.6392E-02,9.6394E-02,9.6390E-02,1.4338E-01,1.4338E-01
CaCl+,3.8188E-01,3.8188E-01,3.8188E-01,3.8188E-01,3.8188E-01,3.8190E-01,3.8205E-01,3.8362E-01,3.9943E-01,5.0126E-01,5.7011E-01,7.4896E-01,7.7119E-01,8.4297E-01,8.4476E-01,9.4062E-01,9.5841E-01,1.0806E+00,1.1906E+00,1.2952E+00,1.3780E+00,1.3926E+00,1.4063E+00,1.4063E+00,1.4002E+00,1.3221E+00,1.3224E+00,1.3250E+00,1.3257E+00,1.3339E+00,1.4016E+00,1.4453E+00,1.4453E+00,1.4447E+00,1.3809E+00,1.3701E+00,1.3701E+00,1.3701E+00,1.3701E+00,1.3699E+00,1.3608E+00,1.3608E+00
K+,3.1722E-01,3.1722E-01,3.1722E-01,3.1722E-01,3.1722E-01,3.1722E-01,3.1721E-01,3.1717E-01,3.1671E-01,3.1322E-01,3.1032E-01,3.0068E-01,2.9923E-01,2.9428E-01,2.9417E-01,2.8615E-01,2.8407E-01,2.6470E-01,2.4724E-01,2.3533E-01,2.2864E-01,2.2795E-01,2.2746E-01,2.2746E-01,2.2572E-01,2.0827E-01,2.0822E-01,2.0786E-01,2.0782E-01,2.0748E-01,2.0874E-01,2.1130E-01,2.1129E-01,2.1121E-01,2.0164E-01,2.0012E-01,2.0012E-01,2.0012E-01,2.0011E-01,2.0009E-01,2.0052E-01,2.0052E-01
Mg(For)+,2.0969E-01,2.0969E-01,2.0969E-01,2.0969E-01,2.0969E-01,2.0969E-01,2.0971E-01,2.0992E-01,2.1188E-01,2.2017E-01,2.2216E-01,2.1776E-01,2.1647E-01,2.1138E-01,2.1124E-01,2.0128E-01,1.9876E-01,1.7258E-01,1.3164E-01,7.3436E-02,2.4379E-02,1.8404E-02,1.3811E-02,1.3809E-02,1.1071E-02,1.3930E-03,1.3305E-03,9.1695E-04,8.7825E-04,5.3332E-04,2.6481E-05,4.5527E-06,4.5521E-06,4.5103E-06,7.7292E-07,3.8466E-08,3.8432E-08,3.8428E-08,3.8417E-08,3.8364E-08,3.0583E-08,3.0583E-08
Na+,9.3877E-02,9.3877E-02,9.3877E-02,9.3877E-02,9.3876E-02,9.3874E-02,9.3852E-02,9.3629E-02,9.1458E-02,8.0254E-02,7.4779E-02,6.5061E-02,6.4113E-02,6.1404E-02,6.1359E-02,5.7852E-02,5.6976E-02,5.0657E-02,4.7918E-02,4.8337E-02,5.0382E-02,5.0927E-02,5.1493E-02,5.1493E-02,5.1424E-02,4.9744E-02,4.9757E-02,4.9868E-02,4.9894E-02,5.0222E-02,5.3112E-02,5.5066E-02,5.5066E-02,5.5047E-02,5.2866E-02,5.2564E-02,5.2563E-02,5.2562E-02,5.2561E-02,5.2556E-02,5.2615E-02,5.2615E-02
"NaCl,aq",9.2929E-02,9.2929E-02,9.2929E-02,9.2929E-02,9.2929E-02,9.2931E-02,9.2952E-02,9.3162E-02,9.5209E-02,1.0570E-01,1.1079E-01,1.1989E-01,1.2079E-01,1.2341E-01,1.2345E-01,1.2695E-01,1.2782E-01,1.3415E-01,1.3756E-01,1.3862E-01,1.3792E-01,1.3755E-01,1.3707E-01,1.3707E-01,1.3549E-01,1.2064E-01,1.2060E-01,1.2029E-01,1.2025E-01,1.1981E-01,1.1647E-01,1.1435E-01,1.1435E-01,1.1430E-01,1.0844E-01,1.0732E-01,1.0732E-01,1.0732E-01,1.0732E-01,1.0730E-01,1.0725E-01,1.0725E-01
"MgCO3,aq",7.3998E-02,7.3998E-02,7.3998E-02,7.3998E-02,7.3997E-02,7.3992E-02,7.3939E-02,7.3416E-02,6.8278E-02,4.0888E-02,2.7482E-02,8.1241E-03,6.8660E-03,3.9633E-03,3.9149E-03,1.7868E-03,1.4942E-03,3.2527E-04,6.5848E-05,1.2027E-05,1.9689E-06,1.3618E-06,9.5819E-07,9.5814E-07,8.9593E-07,4.9794E-07,4.8368E-07,3.8301E-07,3.6586E-07,2.1642E-07,1.0313E-08,1.7326E-09,1.7325E-09,1.7299E-09,1.4469E-09,1.2754E-09,1.2753E-09,1.2753E-09,1.2752E-09,1.2749E-09,8.5707E-10,8.5707E-10
"CaCO3,aq",3.7110E-02,3.7110E-02,3.7110E-02,3.7110E-02,3.7110E-02,3.7109E-02,3.7100E-02,3.7007E-02,3.5998E-02,2.7489E-02,2.1060E-02,8.1216E-03,7.0611E-03,4.3972E-03,4.3456E-03,2.0791E-03,1.7649E-03,4.4990E-04,1.0471E-04,2.0338E-05,3.3924E-06,2.3705E-06,1.6934E-06,1.6933E-06,1.5919E-06,9.2606E-07,9.0079E-07,7.2193E-07,6.9127E-07,4.2244E-07,3.1044E-08,8.9965E-09,8.9964E-09,8.9872E-09,7.9933E-09,7.5587E-09,7.5582E-09,7.5581E-09,7.5577E-09,7.5562E-09,6.7156E-09,6.7156E-09
"Mg(For)2,aq",2.6024E-02,2.6024E-02,2.6024E-02,2.6024E-02,2.6024E-02,2.6024E-02,2.6027E-02,2.6052E-02,2.6290E-02,2.7107E-02,2.7063E-02,2.5586E-02,2.5324E-02,2.4452E-02,2.4434E-02,2.3549E-02,2.3356E-02,2.0517E-02,1.3846E-02,5.1100E-03,6.9850E-04,4.1624E-04,2.4427E-04,2.4420E-04,1.5860E-04,2.7216E-06,2.4879E-06,1.1998E-06,1.1038E-06,4.1953E-07,1.0878E-09,2.7482E-11,2.7475E-11,2.6969E-11,7.8315E-13,1.8943E-15,1.8909E-15,1.8905E-15,1.8894E-15,1.8843E-15,1.0728E-15,1.0728E-15
MgHCO3+,2.4172E-02,2.4172E-02,2.4172E-02,2.4172E-02,2.4172E-02,2.4174E-02,2.4193E-02,2.4382E-02,2.6332E-02,4.0409E-02,5.0441E-02,7.2741E-02,7.4974E-02,8.1587E-02,8.1759E-02,9.0102E-02,9.1353E-02,9.3543E-02,8.1954E-02,6.0893E-02,3.7068E-02,3.2873E-02,2.9196E-02,2.9196E-02,2.8816E-02,2.2883E-02,2.2609E-02,2.0511E-02,2.0115E-02,1.6062E-02,4.1940E-03,1.8777E-03,1.8777E-03,1.8757E-03,1.6564E-03,1.5540E-03,1.5539E-03,1.5539E-03,1.5538E-03,1.5535E-03,1.3059E-03,1.3059E-03
"FORMATE,aq",1.0817E-02,1.0817E-02,1.0817E-02,1.0817E-02,1.0817E-02,1.0818E-02,1.0826E-02,1.0908E-02,1.1738E-02,1.7219E-02,2.0902E-02,3.0145E-02,3.1303E-02,3.4885E-02,3.4942E-02,3.9083E-02,4.0139E-02,4.9184E-02,5.2577E-02,4.0730E-02,1.8943E-02,1.5329E-02,1.2301E-02,1.2299E-02,1.0030E-02,1.4205E-03,1.3611E-03,9.6242E-04,9.2636E-04,5.9566E-04,4.2056E-05,8.9872E-06,8.9861E-06,8.9054E-06,1.5631E-06,7.9575E-08,7.9505E-08,7.9497E-08,7.9475E-08,7.9366E-08,6.8683E-08,6.8683E-08
CaHCO3+,6.4317E-03,6.4317E-03,6.4317E-03,6.4317E-03,6.4318E-03,6.4323E-03,6.4377E-03,6.4912E-03,7.0442E-03,1.1008E-02,1.3775E-02,1.9403E-02,1.9879E-02,2.1051E-02,2.1073E-02,2.1729E-02,2.1728E-02,2.0229E-02,1.6379E-02,1.1128E-02,6.2388E-03,5.4838E-03,4.8495E-03,4.8495E-03,4.7888E-03,3.8377E-03,3.7925E-03,3.4475E-03,3.3823E-03,2.7216E-03,8.5176E-04,4.8646E-04,4.8646E-04,4.8600E-04,4.3586E-04,4.2083E-04,4.2081E-04,4.2080E-04,4.2078E-04,4.2068E-04,3.9716E-04,3.9716E-04
HCO3-,3.8568E-03,3.8568E-03,3.8568E-03,3.8568E-03,3.8568E-03,3.8571E-03,3.8600E-03,3.8894E-03,4.1885E-03,6.1126E-03,7.2087E-03,8.5036E-03,8.5138E-03,8.3540E-03,8.3444E-03,7.6908E-03,7.5332E-03,6.0357E-03,4.2101E-03,2.4585E-03,1.1948E-03,1.0200E-03,8.7632E-04,8.7631E-04,8.5956E-04,6.5933E-04,6.5064E-04,5.8466E-04,5.7233E-04,4.4846E-04,1.1585E-04,5.8351E-05,5.8350E-05,5.8299E-05,5.2577E-05,5.0419E-05,5.0417E-05,5.0416E-05,5.0414E-05,5.0403E-05,4.6482E-05,4.6482E-05
"KCl,aq",3.1979E-03,3.1979E-03,3.1979E-03,3.1979E-03,3.1979E-03,3.1983E-03,3.2022E-03,3.2415E-03,3.6535E-03,6.9742E-03,9.8401E-03,1.9548E-02,2.1012E-02,2.6025E-02,2.6136E-02,3.4268E-02,3.6378E-02,5.5939E-02,7.3765E-02,8.6127E-02,9.2983E-02,9.3684E-02,9.4103E-02,9.4102E-02,9.2916E-02,8.1727E-02,8.1726E-02,8.1720E-02,8.1737E-02,8.1858E-02,7.9798E-02,7.6964E-02,7.6963E-02,7.6926E-02,7.2807E-02,7.1917E-02,7.1915E-02,7.1914E-02,7.1912E-02,7.1904E-02,7.1487E-02,7.1487E-02
"Na(For),aq",1.2748E-03,1.2748E-03,1.2748E-03,1.2748E-03,1.2748E-03,1.2748E-03,1.2756E-03,1.2837E-03,1.3652E-03,1.8670E-03,2.1716E-03,2.8063E-03,2.8700E-03,3.0320E-03,3.0332E-03,3.1569E-03,3.1927E-03,3.4090E-03,3.0615E-03,1.9093E-03,6.9766E-04,5.3834E-04,4.1326E-04,4.1320E-04,3.3210E-04,4.2199E-05,4.0360E-05,2.8116E-05,2.6988E-05,1.6823E-05,1.0448E-06,2.2112E-07,2.2110E-07,2.1907E-07,3.7745E-08,1.9226E-09,1.9209E-09,1.9207E-09,1.9202E-09,1.9175E-09,1.6988E-09,1.6988E-09
CO3-2,7.8785E-04,7.8785E-04,7.8785E-04,7.8785E-04,7.8784E-04,7.8775E-04,7.8682E-04,7.7760E-04,6.9095E-04,3.2806E-04,1.9754E-04,4.9169E-05,4.1015E-05,2.2130E-05,2.1740E-05,8.0712E-06,6.6572E-06,1.6778E-06,4.2858E-07,8.3259E-08,1.3419E-08,9.4587E-09,6.8855E-09,6.8852E-09,6.5053E-09,3.9660E-09,3.8674E-09,3.1680E-09,3.0477E-09,1.9835E-09,3.5113E-10,3.4597E-10,3.4597E-10,3.4621E-10,3.7069E-10,4.1663E-10,4.1665E-10,4.1665E-10,4.1665E-10,4.1659E-10,7.4204E-10,7.4204E-10
"NaHCO3,aq",2.3718E-04,2.3718E-04,2.3718E-04,2.3718E-04,2.3718E-04,2.3720E-04,2.3738E-04,2.3921E-04,2.5772E-04,3.6884E-04,4.2284E-04,4.4694E-04,4.3995E-04,4.0954E-04,4.0886E-04,3.5843E-04,3.4555E-04,2.3179E-04,1.3221E-04,6.4645E-05,2.6942E-05,2.2299E-05,1.8578E-05,1.8578E-05,1.8009E-05,1.2556E-05,1.2370E-05,1.0964E-05,1.0704E-05,8.1217E-06,1.5781E-06,5.7989E-07,5.7988E-07,5.7900E-07,4.8714E-07,4.4609E-07,4.4605E-07,4.4604E-07,4.4600E-07,4.4588E-07,3.4879E-07,3.4879E-07
MgOH+,1.5784E-04,1.5784E-04,1.5784E-04,1.5784E-04,1.5784E-04,1.5784E-04,1.5788E-04,1.5832E-04,1.6278E-04,1.9486E-04,2.1992E-04,2.9960E-04,3.1117E-04,3.4913E-04,3.4987E-04,4.0085E-04,4.1362E-04,5.4170E-04,7.0011E-04,8.6698E-04,1.0295E-03,1.0647E-03,1.1012E-03,1.1012E-03,1.1126E-03,1.1879E-03,1.1823E-03,1.1395E-03,1.1315E-03,1.0466E-03,7.7163E-04,7.6635E-04,7.6635E-04,7.6677E-04,8.0939E-04,8.4185E-04,8.4187E-04,8.4188E-04,8.4189E-04,8.4191E-04,9.7799E-04,9.7799E-04
FeCl+,1.3780E-04,1.3780E-04,1.3780E-04,1.3780E-04,1.3780E-04,1.3782E-04,1.3794E-04,1.3922E-04,1.5246E-04,2.5788E-04,3.5351E-04,7.4148E-04,8.0877E-04,1.0641E-03,1.0713E-03,1.5728E-03,1.6980E-03,2.9185E-03,4.5161E-03,6.3342E-03,7.3965E-03,7.4103E-03,7.3372E-03,7.3369E-03,6.8455E-03,3.5893E-03,3.6003E-03,3.6798E-03,3.6897E-03,3.7834E-03,3.5694E-03,3.0613E-03,3.0612E-03,3.0532E-03,2.3107E-03,2.1778E-03,2.1775E-03,2.1775E-03,2.1772E-03,2.1761E-03,2.0175E-03,2.0175E-03
Fe+2,1.2166E-04,1.2166E-04,1.2166E-04,1.2166E-04,1.2166E-04,1.2167E-04,1.2177E-04,1.2279E-04,1.3320E-04,2.0598E-04,2.6029E-04,4.1875E-04,4.3981E-04,5.0159E-04,5.0229E-04,5.5489E-04,5.6872E-04,6.9241E-04,7.5428E-04,6.5545E-04,4.4521E-04,4.0543E-04,3.7013E-04,3.7011E-04,3.4118E-04,1.7070E-04,1.7082E-04,1.7152E-04,1.7143E-04,1.7072E-04,2.0852E-04,3.6043E-04,3.6042E-04,3.5989E-04,3.0945E-04,3.2537E-04,3.2536E-04,3.2535E-04,3.2533E-04,3.2518E-04,4.6291E-04,4.6291E-04
"H2,aq",7.9915E-05,7.9915E-05,7.9915E-05,7.9915E-05,7.9916E-05,7.9926E-05,8.0026E-05,8.1031E-05,9.1778E-05,1.9610E-04,3.2107E-04,1.1557E-03,1.3577E-03,2.2618E-03,2.2877E-03,4.6207E-03,5.3913E-03,1.8326E-02,5.4142E-02,1.2484E-01,1.9325E-01,2.0070E-01,2.0450E-01,2.0448E-01,1.7510E-01,4.0565E-02,3.9565E-02,3.2266E-02,3.1942E-02,2.8351E-02,1.2958E-02,7.8391E-03,7.8383E-03,7.7805E-03,1.6501E-03,9.1615E-05,9.1543E-05,9.1537E-05,9.1519E-05,9.1425E-05,9.7086E-05,9.7086E-05
Fe(For)+,3.1932E-05,3.1932E-05,3.1932E-05,3.1932E-05,3.1933E-05,3.1936E-05,3.1967E-05,3.2280E-05,3.5520E-05,5.9913E-05,7.9937E-05,1.4723E-04,1.5733E-04,1.9236E-04,1.9325E-04,2.4984E-04,2.6238E-04,3.5290E-04,3.8058E-04,2.7406E-04,1.0044E-04,7.5553E-05,5.5974E-05,5.5963E-05,4.2159E-05,3.0054E-06,2.8798E-06,2.0311E-06,1.9507E-06,1.2168E-06,5.9335E-08,9.0484E-09,9.0470E-09,8.9425E-09,1.1963E-09,5.6647E-11,5.6591E-11,5.6584E-11,5.6562E-11,5.6459E-11,4.2320E-11,4.2320E-11
"Fe(For)2,aq",7.9021E-06,7.9021E-06,7.9021E-06,7.9021E-06,7.9022E-06,7.9031E-06,7.9119E-06,7.9997E-06,8.9125E-06,1.5859E-05,2.1514E-05,3.9852E-05,4.2552E-05,5.1790E-05,5.2009E-05,6.7195E-05,7.0849E-05,9.7141E-05,9.1851E-05,4.1679E-05,5.8479E-06,3.4259E-06,1.9626E-06,1.9619E-06,1.1945E-06,1.1469E-08,1.0514E-08,5.1799E-09,4.7770E-09,1.8617E-09,5.1183E-12,1.3561E-13,1.3558E-13,1.3279E-13,3.0965E-15,7.3132E-18,7.2995E-18,7.2978E-18,7.2930E-18,7.2700E-18,4.3209E-18,4.3209E-18
FeOH+,3.7260E-06,3.7260E-06,3.7260E-06,3.7260E-06,3.7260E-06,3.7262E-06,3.7281E-06,3.7474E-06,3.9436E-06,5.2838E-06,6.2995E-06,9.5720E-06,1.0054E-05,1.1700E-05,1.1740E-05,1.4172E-05,1.4706E-05,1.9098E-05,2.3466E-05,2.6315E-05,2.5043E-05,2.4291E-05,2.3430E-05,2.3429E-05,2.1947E-05,1.2137E-05,1.2087E-05,1.1670E-05,1.1572E-05,1.0486E-05,5.7183E-06,4.2132E-06,4.2130E-06,4.2044E-06,3.3917E-06,3.2951E-06,3.2949E-06,3.2948E-06,3.2945E-06,3.2931E-06,3.3683E-06,3.3683E-06
OH-,2.5486E-06,2.5486E-06,2.5486E-06,2.5486E-06,2.5486E-06,2.5486E-06,2.5485E-06,2.5473E-06,2.5354E-06,2.4550E-06,2.4007E-06,2.2715E-06,2.2571E-06,2.1853E-06,2.1802E-06,1.9670E-06,1.9416E-06,1.8992E-06,1.9266E-06,1.8583E-06,1.7549E-06,1.7499E-06,1.7556E-06,1.7556E-06,1.7633E-06,1.8234E-06,1.8131E-06,1.7354E-06,1.7210E-06,1.5738E-06,1.2637E-06,1.6067E-06,1.6067E-06,1.6081E-06,1.7611E-06,1.9051E-06,1.9052E-06,1.9053E-06,1.9053E-06,1.9054E-06,2.6118E-06,2.6118E-06
CaOH+,2.0796E-06,2.0796E-06,2.0796E-06,2.0796E-06,2.0796E-06,2.0799E-06,2.0823E-06,2.1068E-06,2.3640E-06,4.4613E-06,6.3247E-06,1.2912E-05,1.3915E-05,1.7282E-05,1.7352E-05,2.1834E-05,2.2872E-05,3.2092E-05,4.1679E-05,4.9878E-05,5.6128E-05,5.7485E-05,5.8961E-05,5.8961E-05,5.9511E-05,6.3080E-05,6.2754E-05,6.0247E-05,5.9774E-05,5.4809E-05,3.8785E-05,3.6536E-05,3.6537E-05,3.6545E-05,3.7426E-05,3.8433E-05,3.8434E-05,3.8434E-05,3.8434E-05,3.8434E-05,4.2599E-05,4.2599E-05
"CO2,aq",1.8100E-06,1.8100E-06,1.8100E-06,1.8100E-06,1.8101E-06,1.8107E-06,1.8173E-06,1.8840E-06,2.6924E-06,2.0363E-05,6.3700E-05,6.9293E-04,8.9720E-04,1.9611E-03,1.9948E-03,5.4814E-03,6.7733E-03,3.1379E-02,9.4984E-02,1.9710E-01,2.8834E-01,3.0055E-01,3.1046E-01,3.1046E-01,3.1887E-01,3.4088E-01,3.4148E-01,3.4589E-01,3.4646E-01,3.5228E-01,3.6875E-01,3.7143E-01,3.7143E-01,3.7131E-01,3.5712E-01,3.5491E-01,3.5491E-01,3.5490E-01,3.5490E-01,3.5485E-01,3.5513E-01,3.5513E-01
"KOH,aq",1.8646E-07,1.8646E-07,1.8646E-07,1.8646E-07,1.8646E-07,1.8647E-07,1.8658E-07,1.8760E-07,1.9788E-07,2.5721E-07,2.8883E-07,3.3723E-07,3.4019E-07,3.4323E-07,3.4294E-07,3.3162E-07,3.3018E-07,3.1443E-07,2.7401E-07,2.1599E-07,1.6249E-07,1.5382E-07,1.4632E-07,1.4632E-07,1.4410E-07,1.2784E-07,1.2675E-07,1.1846E-07,1.1693E-07,1.0107E-07,4.9394E-08,3.7412E-08,3.7412E-08,3.7411E-08,3.7339E-08,3.7671E-08,3.7671E-08,3.7671E-08,3.7671E-08,3.7670E-08,3.9978E-08,3.9978E-08
"NaOH,aq",1.3214E-07,1.3214E-07,1.3214E-07,1.3214E-07,1.3214E-07,1.3214E-07,1.3213E-07,1.3207E-07,1.3140E-07,1.2412E-07,1.1757E-07,9.8708E-08,9.6302E-08,8.8205E-08,8.7968E-08,7.5576E-08,7.3326E-08,5.8703E-08,4.7425E-08,3.7491E-08,2.9596E-08,2.8399E-08,2.7401E-08,2.7401E-08,2.7155E-08,2.5235E-08,2.5037E-08,2.3527E-08,2.3248E-08,2.0346E-08,1.0959E-08,8.9440E-09,8.9440E-09,8.9447E-09,9.0063E-09,9.1541E-09,9.1542E-09,9.1542E-09,9.1542E-09,9.1539E-09,9.9540E-09,9.9540E-09
"FORMIC ACID,aq",7.6883E-08,7.6883E-08,7.6883E-08,7.6882E-08,7.6885E-08,7.6914E-08,7.7193E-08,8.0044E-08,1.1445E-07,8.3991E-07,2.5659E-06,2.8051E-05,3.6609E-05,8.2174E-05,8.3559E-05,2.3489E-04,2.9422E-04,1.6245E-03,5.9344E-03,1.2687E-02,1.4036E-02,1.3339E-02,1.2448E-02,1.2446E-02,1.0510E-02,1.8987E-03,1.8446E-03,1.4568E-03,1.4325E-03,1.1770E-03,3.5574E-04,1.9462E-04,1.9460E-04,1.9299E-04,3.6673E-05,2.0063E-06,2.0047E-06,2.0045E-06,2.0040E-06,2.0013E-06,2.2486E-06,2.2486E-06
"FeO,aq",6.9899E-09,6.9899E-09,6.9899E-09,6.9899E-09,6.9900E-09,6.9907E-09,6.9981E-09,7.0721E-09,7.8449E-09,1.4019E-08,1.9548E-08,4.1201E-08,4.4886E-08,5.8345E-08,5.8666E-08,8.2384E-08,8.8713E-08,1.5666E-07,2.4966E-07,3.4971E-07,4.1394E-07,4.1950E-07,4.2189E-07,4.2187E-07,3.9930E-07,2.3733E-07,2.3530E-07,2.1940E-07,2.1608E-07,1.8129E-07,6.3303E-08,3.4489E-08,3.4488E-08,3.4424E-08,2.8295E-08,2.7466E-08,2.7464E-08,2.7464E-08,2.7462E-08,2.7451E-08,2.7639E-08,2.7639E-08
HFeO2-,4.2828E-09,4.2828E-09,4.2828E-09,4.2828E-09,4.2828E-09,4.2825E-09,4.2791E-09,4.2454E-09,3.9321E-09,2.6890E-09,2.2741E-09,1.8342E-09,1.8132E-09,1.6588E-09,1.6430E-09,1.1791E-09,1.1653E-09,1.7277E-09,2.8727E-09,3.1216E-09,2.7027E-09,2.7519E-09,2.9021E-09,2.9020E-09,2.8070E-09,2.1006E-09,2.0877E-09,1.9995E-09,1.9822E-09,1.8599E-09,9.0513E-09,3.1709E-07,3.1711E-07,3.1856E-07,5.3020E-07,9.6941E-07,9.6973E-07,9.6978E-07,9.6991E-07,9.6982E-07,1.1864E-05,1.1864E-05
