Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41
gMgHSiO3+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
"gSiO2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gCO,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gCaHSiO3+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gHSiO3-,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1930,-0.1941,-0.2016,-0.2070,-0.2231,-0.2253,-0.2312,-0.2311,-0.2340,-0.2365,-0.2722,-0.3139,-0.3509,-0.3954,-0.4077,-0.4213,-0.4213,-0.4247,-0.4498,-0.4507,-0.4583,-0.4598,-0.4788,-0.6637,-0.8708,-0.8708,-0.8710,-0.8996,-0.9269,-0.9269,-0.9269,-0.9269,-0.9269,-1.0356,-1.0356
"gFORMALDEHYDE,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gFeCl2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"gHFeO2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gFeO2-,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1930,-0.1941,-0.2016,-0.2070,-0.2231,-0.2253,-0.2312,-0.2311,-0.2340,-0.2365,-0.2722,-0.3139,-0.3509,-0.3954,-0.4077,-0.4213,-0.4213,-0.4247,-0.4498,-0.4507,-0.4583,-0.4598,-0.4788,-0.6637,-0.8708,-0.8708,-0.8710,-0.8996,-0.9269,-0.9269,-0.9269,-0.9269,-0.9269,-1.0356,-1.0356
gFeO+,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2820,0.2830,0.2926,0.3313,0.3398,0.3207,0.3155,0.2941,0.2933,0.2553,0.2483,0.1809,0.0575,-0.1417,-0.4064,-0.4655,-0.5236,-0.5237,-0.5379,-0.6320,-0.6348,-0.6573,-0.6617,-0.7126,-1.0324,-1.2246,-1.2246,-1.2248,-1.2386,-1.2545,-1.2546,-1.2546,-1.2546,-1.2545,-1.3092,-1.3092
gFeOH+2,-0.3773,-0.3773,-0.3773,-0.3773,-0.3773,-0.3773,-0.3772,-0.3760,-0.3647,-0.3282,-0.3308,-0.4037,-0.4178,-0.4635,-0.4641,-0.5187,-0.5356,-0.7419,-1.0475,-1.4438,-1.9556,-2.0774,-2.2015,-2.2015,-2.2314,-2.4353,-2.4420,-2.4965,-2.5073,-2.6359,-3.6157,-4.4369,-4.4369,-4.4378,-4.5263,-4.6171,-4.6171,-4.6171,-4.6172,-4.6172,-4.9632,-4.9632
gFeCl+2,-0.3773,-0.3773,-0.3773,-0.3773,-0.3773,-0.3773,-0.3772,-0.3760,-0.3647,-0.3282,-0.3308,-0.4037,-0.4178,-0.4635,-0.4641,-0.5187,-0.5356,-0.7419,-1.0475,-1.4438,-1.9556,-2.0774,-2.2015,-2.2015,-2.2314,-2.4353,-2.4420,-2.4965,-2.5073,-2.6359,-3.6157,-4.4369,-4.4369,-4.4378,-4.5263,-4.6171,-4.6171,-4.6171,-4.6172,-4.6172,-4.9632,-4.9632
gFe+3,-0.2935,-0.2935,-0.2935,-0.2935,-0.2935,-0.2935,-0.2933,-0.2916,-0.2753,-0.2186,-0.2170,-0.3009,-0.3179,-0.3752,-0.3762,-0.4513,-0.4722,-0.7178,-1.0901,-1.5895,-2.2366,-2.3886,-2.5424,-2.5424,-2.5804,-2.8415,-2.8496,-2.9160,-2.9291,-3.0843,-4.2273,-5.1288,-5.1288,-5.1297,-5.2282,-5.3243,-5.3244,-5.3244,-5.3244,-5.3244,-5.6781,-5.6781
"gH2O2,aq",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gHO2-,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1929,-0.1930,-0.1941,-0.2016,-0.2070,-0.2231,-0.2253,-0.2312,-0.2311,-0.2340,-0.2365,-0.2722,-0.3139,-0.3509,-0.3954,-0.4077,-0.4213,-0.4213,-0.4247,-0.4498,-0.4507,-0.4583,-0.4598,-0.4788,-0.6637,-0.8708,-0.8708,-0.8710,-0.8996,-0.9269,-0.9269,-0.9269,-0.9269,-0.9269,-1.0356,-1.0356
"gO2,aq",0.9074,0.9074,0.9074,0.9074,0.9074,0.9074,0.9072,0.9050,0.8835,0.7635,0.6980,0.5711,0.5588,0.5227,0.5218,0.4778,0.4712,0.4469,0.4570,0.4857,0.5285,0.5386,0.5485,0.5485,0.5482,0.5362,0.5366,0.5402,0.5410,0.5500,0.6161,0.6818,0.6818,0.6817,0.6759,0.6821,0.6821,0.6821,0.6821,0.6820,0.7212,0.7212
total_HCO3-,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
total_Na+,1.88317E-01,1.88317E-01,1.88317E-01,1.88317E-01,1.88317E-01,1.88317E-01,1.88306E-01,1.88315E-01,1.88289E-01,1.88196E-01,1.88154E-01,1.88212E-01,1.88213E-01,1.88254E-01,1.88254E-01,1.88318E-01,1.88329E-01,1.88446E-01,1.88662E-01,1.88917E-01,1.89028E-01,1.89037E-01,1.88995E-01,1.88995E-01,1.87276E-01,1.70431E-01,1.70411E-01,1.70184E-01,1.70174E-01,1.70047E-01,1.69580E-01,1.69420E-01,1.69420E-01,1.69340E-01,1.61300E-01,1.59890E-01,1.59880E-01,1.59880E-01,1.59880E-01,1.59860E-01,1.59870E-01,1.59870E-01
TCO2,1.46595E-01,1.46595E-01,1.46595E-01,1.46595E-01,1.46594E-01,1.46591E-01,1.46556E-01,1.46204E-01,1.42792E-01,1.26624E-01,1.20651E-01,1.18082E-01,1.18672E-01,1.21745E-01,1.21862E-01,1.29236E-01,1.30999E-01,1.52195E-01,1.97830E-01,2.71677E-01,3.32874E-01,3.39953E-01,3.45403E-01,3.45403E-01,3.53355E-01,3.68274E-01,3.68546E-01,3.70445E-01,3.70541E-01,3.71521E-01,3.73913E-01,3.73853E-01,3.73853E-01,3.73731E-01,3.59265E-01,3.56936E-01,3.56936E-01,3.56926E-01,3.56925E-01,3.56875E-01,3.56880E-01,3.56880E-01
TFor,2.47846E-01,2.47846E-01,2.47846E-01,2.47846E-01,2.47846E-01,2.47847E-01,2.47878E-01,2.48204E-01,2.51318E-01,2.66439E-01,2.72398E-01,2.76484E-01,2.76167E-01,2.73993E-01,2.73894E-01,2.67386E-01,2.65781E-01,2.46140E-01,2.01597E-01,1.21501E-01,4.48244E-02,3.47666E-02,2.68275E-02,2.68233E-02,2.16351E-02,2.86144E-03,2.73734E-03,1.91072E-03,1.83466E-03,1.14744E-03,6.96422E-05,1.37701E-05,1.37684E-05,1.36437E-05,2.37496E-06,1.20020E-07,1.19914E-07,1.19902E-07,1.19869E-07,1.19704E-07,1.01007E-07,1.01007E-07
MAGNETITE_out,7.5806E-02,7.5806E-02,7.5806E-02,7.5806E-02,7.5806E-02,7.5811E-02,7.5861E-02,7.6357E-02,8.1175E-02,1.0477E-01,1.1444E-01,1.2393E-01,1.2412E-01,1.2355E-01,1.2348E-01,1.2024E-01,1.1978E-01,1.1667E-01,1.1206E-01,1.1487E-01,1.3119E-01,1.3412E-01,1.3552E-01,1.3550E-01,1.0994E-01,1.0547E-02,9.2755E-03,,,,,,,,,,1.8334E-05,2.4907E-05,4.4159E-05,1.4212E-04,1.6759E-04,1.6759E-04
SERP-SS_out,3.7322E+00,3.7322E+00,3.7322E+00,3.7322E+00,3.7322E+00,3.7322E+00,3.7322E+00,3.7321E+00,3.7311E+00,3.7262E+00,3.7239E+00,3.7206E+00,3.7203E+00,3.7197E+00,3.7197E+00,3.7192E+00,3.7190E+00,3.7171E+00,3.7154E+00,3.7127E+00,3.7076E+00,3.7063E+00,3.7009E+00,3.7008E+00,3.5326E+00,1.8628E+00,1.8589E+00,1.8303E+00,1.8288E+00,1.8125E+00,1.7508E+00,1.7269E+00,1.7267E+00,1.7145E+00,2.7366E-01,5.1319E-03,4.4664E-03,4.2292E-03,3.5348E-03,,,
