C1,0.000,0.000,1.0197E-02,0.5189,1.4712E-09,2.3000E-03,2.9788E-09,9.8000E-03,1.2441E-02,0.4640,1.5913E-05,
C1,1.0000E-08,0.000,1.0197E-02,0.5189,2.7150E-09,2.3000E-03,2.9786E-09,9.8000E-03,1.2441E-02,0.4640,1.5913E-05,
C1,3.0000E-08,0.000,1.0197E-02,0.5189,3.2083E-09,2.3000E-03,2.9782E-09,9.8000E-03,1.2440E-02,0.4640,1.5912E-05,
C1,1.0000E-07,0.000,1.0199E-02,0.5189,9.8995E-09,2.3000E-03,2.9771E-09,9.8000E-03,1.2439E-02,0.4640,1.5910E-05,
C1,2.9312E-07,0.000,1.0203E-02,0.5189,2.7773E-08,2.3000E-03,2.9738E-09,9.8000E-03,1.2434E-02,0.4640,1.5904E-05,
C1,8.8341E-07,0.000,1.0217E-02,0.5189,7.9865E-08,2.3000E-03,2.9638E-09,9.8000E-03,1.2421E-02,0.4640,1.5886E-05,
C1,1.0000E-06,0.000,1.0219E-02,0.5189,8.9802E-08,2.3000E-03,2.9618E-09,9.8000E-03,1.2418E-02,0.4640,1.5883E-05,
C1,3.0339E-06,0.000,1.0266E-02,0.5189,2.4878E-07,2.3000E-03,2.9275E-09,9.8000E-03,1.2372E-02,0.4640,1.5836E-05,
C1,8.5669E-06,0.000,1.0391E-02,0.5189,5.8890E-07,2.3000E-03,2.8361E-09,9.8000E-03,1.2246E-02,0.4640,1.5758E-05,
C1,1.0000E-05,0.000,1.0424E-02,0.5189,6.6189E-07,2.3000E-03,2.8129E-09,9.8000E-03,1.2213E-02,0.4640,1.5743E-05,
C1,2.7735E-05,0.000,1.0827E-02,0.5189,1.2939E-06,2.3000E-03,2.5411E-09,9.8001E-03,1.1809E-02,0.4640,1.5641E-05,
C1,7.6226E-05,0.000,1.1928E-02,0.5189,2.0304E-06,2.3001E-03,1.9297E-09,9.8003E-03,1.0706E-02,0.4640,1.5551E-05,
C1,1.0000E-04,0.000,1.2468E-02,0.5189,2.1844E-06,2.3001E-03,1.6872E-09,9.8004E-03,1.0166E-02,0.4640,1.5533E-05,
C1,2.8929E-04,0.000,1.6768E-02,0.5189,1.9407E-06,2.3003E-03,5.4037E-10,9.8012E-03,5.8673E-03,0.4641,1.5494E-05,
